game_nr,message,targets,fixed indices,context condition,distractors,accuracy
624,[1],[3. 2. 3.],[1. 1. 1.],0,[0. 1. 0.],0.8969494700431824
688,[1],[0. 2. 3.],[1. 1. 1.],0,[3. 0. 0.],0.849999725818634
517,[1],[3. 2. 3.],[1. 1. 1.],1,[2. 2. 1.],0.8864966034889221
695,"[1, 1]",[0. 2. 3.],[1. 1. 1.],0,[1. 3. 0.],0.8499985337257385
708,"[1, 1]",[2. 2. 3.],[0. 0. 1.],0,[3. 1. 0.],0.9797096848487854
415,"[1, 1]",[2. 3. 3.],[1. 1. 1.],1,[3. 1. 3.],0.9442622661590576
474,"[1, 1]",[0. 1. 3.],[1. 0. 1.],1,[0. 1. 1.],0.9514314532279968
84,"[1, 1]",[2. 1. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9999905228614807
105,"[1, 1]",[2. 0. 3.],[1. 0. 1.],1,[2. 3. 2.],0.9696502685546875
144,"[1, 1]",[1. 1. 3.],[0. 0. 1.],0,[2. 3. 0.],0.9566611051559448
495,"[1, 1]",[2. 1. 3.],[1. 1. 1.],0,[1. 2. 2.],0.9424814581871033
242,"[1, 1]",[3. 2. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9537214636802673
153,"[1, 1]",[2. 1. 3.],[1. 1. 1.],0,[1. 3. 1.],0.9773175120353699
371,"[1, 1]",[3. 0. 3.],[0. 1. 1.],0,[2. 3. 1.],0.9923899173736572
235,"[1, 2, 1]",[2. 0. 1.],[1. 1. 0.],0,[1. 1. 3.],0.9491137266159058
42,"[1, 2, 1]",[2. 0. 3.],[1. 1. 0.],1,[0. 0. 0.],0.9999517202377319
630,"[1, 2, 1, 1]",[2. 0. 3.],[1. 1. 0.],0,[3. 3. 0.],0.9595938324928284
218,"[1, 4, 1, 3]",[2. 1. 3.],[1. 1. 0.],1,[0. 1. 0.],0.9687604904174805
302,"[1, 4, 1, 4]",[2. 0. 0.],[1. 0. 1.],0,[3. 1. 3.],0.9963993430137634
406,"[1, 4, 1, 4]",[2. 1. 1.],[1. 1. 0.],0,[0. 3. 0.],0.9478462338447571
579,[2],[1. 0. 3.],[1. 1. 0.],0,[3. 1. 2.],0.9444890022277832
2,[2],[3. 0. 2.],[0. 1. 0.],0,[0. 3. 1.],0.9584926962852478
698,[2],[1. 0. 3.],[1. 1. 1.],2,[2. 0. 3.],0.8514225482940674
691,[2],[3. 0. 0.],[0. 1. 0.],0,[2. 3. 2.],0.8581658601760864
82,[2],[3. 0. 2.],[1. 1. 0.],1,[3. 2. 1.],0.9199041128158569
423,[2],[0. 0. 3.],[1. 1. 0.],0,[1. 3. 2.],0.8799057602882385
639,[2],[1. 0. 3.],[1. 1. 1.],1,[1. 2. 1.],0.8975417613983154
660,[2],[1. 0. 2.],[1. 1. 0.],0,[0. 2. 2.],0.9322840571403503
568,[2],[0. 0. 1.],[1. 1. 0.],1,[0. 1. 2.],0.9229446649551392
612,[2],[1. 0. 1.],[1. 1. 0.],0,[3. 3. 3.],0.9625623226165771
591,[2],[2. 0. 0.],[0. 1. 0.],0,[2. 1. 3.],0.959962010383606
176,[2],[0. 0. 3.],[1. 0. 1.],0,[2. 1. 0.],0.9143713712692261
233,[2],[1. 0. 3.],[1. 1. 0.],1,[1. 3. 1.],0.8922666311264038
668,[2],[0. 0. 1.],[0. 1. 0.],0,[2. 1. 1.],0.9038312435150146
1,[2],[3. 0. 2.],[0. 1. 0.],0,[2. 1. 3.],0.9533513784408569
