attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,4,10,3.0,60.0,128,0.001,256,0.99,1.0,0.3667539954185486,0.8372325301170349,0.3770730793476105,0.8357201218605042
3,4,10,3.0,60.0,128,0.001,256,0.97,1.5,0.21587441861629486,0.9196707010269165,0.26872381567955017,0.9012694954872131
3,4,10,3.0,60.0,128,0.001,256,0.99,1.5,0.6920109391212463,0.5245969891548157,0.692538857460022,0.5159180164337158
3,4,10,3.0,60.0,128,0.001,256,0.97,2.0,0.3098350167274475,0.8610946536064148,0.3432895243167877,0.8454099893569946
3,4,10,3.0,60.0,128,0.001,256,0.99,2.0,0.1716928482055664,0.9347495436668396,0.1865248829126358,0.9324218034744263
3,16,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.1743292659521103,0.9438021183013916,0.17417855560779572,0.9434648752212524
3,16,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.2163274735212326,0.9204034805297852,0.22149081528186798,0.9198750853538513
3,16,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.23368193209171295,0.906916618347168,0.23345640301704407,0.9085090160369873
3,16,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.1871885061264038,0.9350977540016174,0.18889378011226654,0.9348872303962708
3,16,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.1660078465938568,0.9448150396347046,0.16420824825763702,0.9455145001411438
3,16,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.1289236843585968,0.9607005715370178,0.14729881286621094,0.9556347131729126
3,16,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.1741330474615097,0.9400167465209961,0.17364753782749176,0.9418049454689026
3,16,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.16550254821777344,0.9468801021575928,0.16555480659008026,0.9481000900268555
3,16,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.1638486236333847,0.944163978099823,0.16107866168022156,0.9465109705924988
3,16,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.12126541137695312,0.9635564088821411,0.12753932178020477,0.9622400999069214
3,16,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.16229978203773499,0.9457017183303833,0.16352561116218567,0.9463950395584106
3,16,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.12130946666002274,0.9618211388587952,0.12686672806739807,0.961355984210968
3,16,10,3.0,60.0,32,0.001,128,0.97,1.0,0.20127934217453003,0.9230183362960815,0.2063349336385727,0.9211027026176453
3,16,10,3.0,60.0,32,0.001,128,0.99,1.0,0.19445011019706726,0.9297243356704712,0.1996462494134903,0.9281285405158997
3,16,10,3.0,60.0,32,0.001,128,0.97,1.5,0.20368991792201996,0.9246223568916321,0.21171361207962036,0.9229360222816467
3,16,10,3.0,60.0,32,0.001,128,0.99,1.5,0.17221803963184357,0.941883385181427,0.18115906417369843,0.9379342794418335
3,16,10,3.0,60.0,32,0.001,128,0.97,2.0,0.1981942504644394,0.929922342300415,0.2048405557870865,0.9286645650863647
3,16,10,3.0,60.0,32,0.001,128,0.99,2.0,0.14922063052654266,0.9502118825912476,0.16251100599765778,0.9459086060523987
3,16,10,3.0,60.0,32,0.001,256,0.97,1.0,0.2017492800951004,0.9274469017982483,0.20111824572086334,0.9284049868583679
3,16,10,3.0,60.0,32,0.001,256,0.99,1.0,0.23991629481315613,0.9079086780548096,0.2506943941116333,0.9043572545051575
3,16,10,3.0,60.0,32,0.001,256,0.97,1.5,0.19255994260311127,0.9309417009353638,0.2023964822292328,0.9275104999542236
3,16,10,3.0,60.0,32,0.001,256,0.99,1.5,0.16701923310756683,0.9454222917556763,0.17599889636039734,0.9429966807365417
3,16,10,3.0,60.0,32,0.001,256,0.97,2.0,0.20336557924747467,0.9285905361175537,0.2095511555671692,0.9271993637084961
3,16,10,3.0,60.0,32,0.001,256,0.99,2.0,0.10851115733385086,0.9639182090759277,0.1291627436876297,0.9578035473823547
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.19305604696273804,0.9347048401832581,0.19769825041294098,0.9340646266937256
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.2099572718143463,0.9236986041069031,0.21542581915855408,0.921456515789032
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.1908346712589264,0.9322457313537598,0.19362959265708923,0.9326973557472229
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.16985759139060974,0.9422865509986877,0.17418017983436584,0.9424093961715698
3,16,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.1956571638584137,0.9302446246147156,0.19534404575824738,0.9313509464263916
3,16,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.16775833070278168,0.9403818845748901,0.16874012351036072,0.9407278895378113
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.24678175151348114,0.8992249965667725,0.24755339324474335,0.8987948298454285
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.17209939658641815,0.9409291744232178,0.17497530579566956,0.9397228956222534
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.25034281611442566,0.8937442302703857,0.2540929913520813,0.8934702277183533
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.13410684466362,0.9561319947242737,0.1368532031774521,0.9555461406707764
