fixed attribute values,symbols
"(2, 0, 3, 3)","[{5, 15}]"
"(2, 0, 3, 5)","[{19, 4, 14, 7}]"
"(2, 0, 5, 0)","[{17, 4, 21, 23}]"
"(2, 0, 5, 5)","[{16, 19, 4, 7}]"
"(2, 0, 5, 6)","[{16, 2, 18}]"
"(2, 0, 5, 7)","[{18, 4, 13}]"
"(2, 0, 5, '_')","[{16, 18, 4, 14}]"
"(2, 1, 0, 2)","[{24, 26}, {24, 26}]"
"(2, 1, 0, 6)","[{2, 26, 14}]"
"(2, 1, 3, 6)","[{2, 10, 14}]"
"(2, 1, 4, 0)","[{8, 21}]"
"(2, 1, 6, 6)","[{2, 11, 14}]"
"(2, 1, 6, 7)","[{11, 4}]"
"(2, 1, 7, 0)","[{10, 21}, {10, 21}]"
"(2, 1, '_', 6)","[{16, 2, 3, 14}]"
"(2, 2, 0, 5)","[{26, 19}]"
"(2, 2, 0, 6)","[{16, 2, 26}]"
"(2, 2, 5, 5)","[{18, 19}]"
"(2, 2, '_', 7)","[{19, 7}]"
"(2, 3, 0, 5)","[{2, 21, 14}]"
"(2, 3, 1, 6)","[{16, 2, 21, 22}]"
"(2, 3, 5, 5)","[{2, 18, 21}]"
"(2, 3, 6, 6)","[{16, 2, 11}, {16, 2, 11}]"
"(2, 4, 1, 5)","[{2, 3, 14, 7}]"
"(2, 4, 2, 5)","[{2, 13, 7}, {2, 23, 7}, {16, 2, 23, 7}]"
"(2, 4, 3, '_')","[{16, 2, 15}]"
"(2, 4, 5, 5)","[{19, 2, 18}]"
"(2, 4, '_', 7)","[{2, 7}]"
"(2, 5, 1, 1)","[{16, 3}]"
"(2, 5, 1, 3)","[{16, 5, 23}]"
"(2, 5, 3, 2)","[{24, 15}]"
"(2, 5, 3, '_')","[{15, 5, 14, 7}]"
"(2, 5, 4, 0)","[{8, 21, 23}]"
"(2, 5, 4, 2)","[{8, 24, 23}, {24, 23}, {24, 8}]"
"(2, 5, 4, 3)","[{8, 23}]"
"(2, 5, 6, 6)","[{16, 11}]"
"(2, 6, 0, 0)","[{25, 26, 21}]"
"(2, 6, 1, 0)","[{25, 21, 14}]"
"(2, 6, 2, 3)","[{5, 6, 23}, {16, 25, 5, 23}]"
"(2, 6, 2, 6)","[{3, 6, 23}]"
"(2, 6, 3, 0)","[{25, 21, 23}]"
"(2, 6, 4, 1)","[{25, 14, 23}]"
"(2, 6, 4, 6)","[{8, 23}]"
"(2, 6, 5, 6)","[{16, 18, 14}, {18, 14}]"
"(2, 6, 7, 1)","[{16, 25, 10}]"
"(2, 6, 7, '_')","[{16, 25, 10, 14}, {16, 25, 10}]"
"(2, 6, '_', 0)","[{25, 21, 14}, {25, 21, 14, 23}]"
"(2, 6, '_', 3)","[{16, 25, 5, 14}, {25, 5, 14}]"
"(2, 7, 0, 5)","[{2, 19, 20, 7}, {2, 20, 7}, {26, 2, 20, 7}]"
"(2, 7, 0, 6)","[{2, 26, 20}, {2, 26, 20}]"
"(2, 7, 0, 7)","[{26, 2, 7}]"
"(2, 7, 6, 6)","[{9, 2, 11, 14}]"
"(2, 7, '_', 5)","[{2, 19, 7}]"
"(2, '_', 0, 3)","[{26, 5}]"
"(2, '_', 2, 0)","[{21, 23}]"
"(2, '_', 3, 2)","[{24, 15}]"
"(2, '_', 3, 6)","[{14, 15}]"
"(2, '_', 4, 3)","[{8, 5, 23}]"
"(2, '_', 5, 1)","[{18, 3, 4, 7}]"
"(2, '_', 6, 6)","[{2, 11, 14}, {16, 2, 11, 14}]"
"(2, '_', '_', '_')",[{7}]
"(3, 0, 2, 0)","[{17, 21, 22}]"
"(3, 0, 2, 5)","[{4, 23}]"
"(3, 0, 4, 0)","[{8, 4, 23}]"
"(3, 0, 4, 7)","[{8, 4, 23}]"
"(3, 0, 5, 6)","[{16, 18}]"
"(3, 0, 5, 7)","[{16, 4, 14, 7}]"
"(3, 0, 5, '_')","[{16, 18, 4}]"
"(3, 0, 7, 6)","[{16, 2, 10}]"
"(3, 1, 0, 0)","[{26, 21}]"
"(3, 1, 0, 6)","[{26, 14}]"
"(3, 1, 2, '_')","[{8, 6, 23}]"
"(3, 1, 6, 1)","[{25, 2, 14, 15}]"
"(3, 1, '_', 5)","[{2, 19, 4, 7}]"
"(3, 1, '_', 6)","[{16, 2, 14}, {16, 2}]"
"(3, 2, 0, 5)","[{26, 19}]"
"(3, 2, 0, 7)","[{26, 19}]"
"(3, 2, 1, 1)","[{16, 19}]"
"(3, 2, 1, 3)","[{16, 5, 23}]"
"(3, 2, 1, 7)","[{16, 19}]"
"(3, 2, 4, 0)","[{21, 23}]"
"(3, 2, 4, 3)","[{8, 5, 23}]"
"(3, 2, 5, 7)","[{18, 19}]"
"(3, 3, 0, 5)","[{2, 26, 15}]"
"(3, 3, 0, 7)","[{26, 4}]"
"(3, 3, 1, 6)","[{16, 2, 22}, {16, 2, 22}]"
"(3, 3, 1, '_')",[{22}]
"(3, 3, 2, 6)","[{16, 2, 23}, {16, 2, 23}]"
"(3, 3, 3, 4)","[{20, 15}]"
"(3, 3, 5, 5)","[{18, 2, 19, 21}]"
"(3, 3, 6, 1)","[{9, 2, 11}, {2, 11, 21}, {2, 11, 15}, {2, 11, 21}]"
"(3, 3, '_', 2)","[{24, 2}]"
"(3, 3, '_', 5)","[{2, 19, 21}, {2, 21, 23}, {4, 23, 7}]"
"(3, 3, '_', 7)","[{2, 19, 21}]"
"(3, 4, 0, 3)","[{5, 7}]"
"(3, 4, 0, 5)","[{2, 3, 21, 7}]"
"(3, 4, 3, 3)","[{2, 5, 14}]"
"(3, 6, 0, 0)","[{26, 21, 14}, {26, 21}]"
"(3, 6, 3, 6)","[{14, 15}]"
"(3, 6, 4, 0)","[{8, 25, 14, 17}, {25, 14, 1, 23}]"
"(3, 6, 4, 1)","[{25, 14, 23}]"
"(3, 6, 4, 3)","[{5, 23}]"
"(3, 6, 6, 4)","[{25, 20, 14}]"
"(3, 6, 6, 6)","[{11, 14}]"
"(3, 6, 6, '_')","[{11, 14}]"
"(3, 6, '_', 0)","[{25, 21, 23}]"
"(3, 7, 0, 0)","[{26, 21}]"
"(3, 7, 0, 5)","[{19, 2, 26}]"
"(3, 7, 1, 1)","[{16, 10, 3, 20}, {16, 20}]"
"(3, 7, 1, 7)","[{16, 2, 3, 20}]"
"(3, 7, 2, 0)","[{21, 22}]"
"(3, 7, 5, 7)","[{18, 20}]"
"(3, 7, 6, 6)","[{2, 11, 14}, {16, 2, 11}, {16, 2, 11}, {11, 20}]"
"(3, 7, '_', 7)","[{2, 4, 20}]"
"(3, '_', 1, 0)","[{16, 21}]"
"(3, '_', 1, 5)","[{16, 22}]"
"(3, '_', 3, 3)","[{5, 15}]"
"(3, '_', 4, 0)","[{21, 23}]"
"(3, '_', 4, 2)","[{8, 24}]"
"(3, '_', 5, 5)","[{18, 19, 4}]"
"(3, '_', '_', 1)","[{3, 4, 7}]"
"(4, 0, 3, 1)","[{16, 3, 4, 15}]"
"(4, 0, 3, 3)","[{5, 15}]"
"(4, 0, 4, 4)","[{8, 20}]"
"(4, 0, 7, 6)","[{16, 2, 10}]"
"(4, 0, '_', 0)","[{4, 21}, {16, 17, 21}]"
"(4, 1, 5, 3)","[{18, 5}]"
"(4, 1, 6, 6)","[{2, 11, 14}, {3, 11, 14}]"
"(4, 1, 7, 0)","[{10, 21}]"
"(4, 2, 4, 2)","[{8, 24, 23}, {24, 19, 23}]"
"(4, 2, 5, 1)","[{18, 3}, {3, 19}, {3, 19}]"
"(4, 2, 5, 6)","[{16, 2, 18}]"
"(4, 2, 6, 4)","[{25, 11, 20, 14}, {9, 11, 20}, {9, 20}]"
"(4, 2, '_', '_')","[{19, 23}]"
"(4, 3, 2, 3)","[{5, 6, 23}]"
"(4, 3, 2, 6)","[{8, 2, 23}]"
"(4, 3, 3, 6)","[{14, 15}]"
"(4, 3, 6, 6)","[{2, 11, 14}]"
"(4, 3, '_', 1)","[{17, 2, 21}]"
"(4, 4, 1, 1)","[{2, 3}, {16, 3}, {16, 3, 7}]"
"(4, 4, 1, 2)","[{16, 24, 2, 3}]"
"(4, 4, 1, 5)","[{3, 2, 19, 7}, {16, 7}]"
"(4, 4, 2, 5)","[{7, 6, 23}]"
"(4, 4, 3, 6)","[{2, 14, 15}]"
"(4, 5, 2, 5)","[{3, 23, 5, 7}]"
"(4, 5, 3, '_')","[{15, 5, 7}]"
"(4, 5, 7, 3)","[{10, 5}, {10, 5}, {10, 5}]"
"(4, 5, '_', '_')","[{20, 5, 7}]"
"(4, 6, 1, 5)","[{16, 25, 23}]"
"(4, 6, 2, 0)","[{21, 22, 23}, {21, 22, 23}]"
"(4, 6, 2, 3)","[{3, 5, 23}]"
"(4, 6, 4, 1)","[{8, 25, 14, 23}]"
"(4, 6, 4, 2)","[{24, 25, 23}]"
"(4, 6, 6, 4)","[{25, 20, 14}]"
"(4, 6, '_', 0)","[{25, 21, 14}, {25, 21, 14}, {25, 21, 23}]"
"(4, 6, '_', '_')","[{25, 14}]"
"(4, 7, 0, 5)","[{26, 7}]"
"(4, 7, 0, 6)","[{2, 26, 14}]"
"(4, 7, 1, 7)","[{16, 2, 3}]"
"(4, 7, 2, 6)","[{2, 20, 23}]"
"(4, 7, 6, 1)","[{9, 2, 11}, {9, 11}, {9, 11}]"
"(4, '_', 0, 0)","[{26, 21}]"
"(4, '_', 0, 6)","[{16, 2, 14}]"
"(4, '_', 4, 2)","[{8, 24, 23}]"
"(4, '_', 5, 3)","[{18, 5}]"
"(4, '_', 6, 2)","[{24, 11}, {24, 11}]"
"(4, '_', 6, 6)","[{16, 2, 14}]"
"(4, '_', '_', '_')","[{3, 7}, {25, 3, 14}]"
"(5, 0, 0, 5)","[{16, 26, 4}, {26, 19, 4}]"
"(5, 0, 1, 0)","[{16, 21}, {16, 21}]"
"(5, 0, 1, 4)","[{16, 20}, {16, 20}]"
"(5, 0, 3, 3)","[{5, 15}]"
"(5, 0, 4, 3)","[{8, 20, 4, 5}, {8, 5, 23}]"
"(5, 0, 5, 6)","[{16, 18}]"
"(5, 0, 6, 5)","[{19, 11, 4}]"
"(5, 0, '_', 0)","[{16, 17, 4, 21}, {17, 4, 21, 22}]"
"(5, 0, '_', 1)","[{16, 3, 4, 7}, {16, 26, 3, 4}]"
"(5, 1, 1, 6)","[{16, 2, 3}, {16, 2, 3}]"
"(5, 1, 5, 3)","[{18, 5}]"
"(5, 1, 6, 1)","[{9, 2, 3, 4}]"
"(5, 1, '_', 6)","[{2, 3, 14}]"
"(5, 2, 4, 2)","[{19, 23}]"
"(5, 2, '_', 0)","[{19, 21}]"
"(5, 2, '_', '_')","[{19, 23}]"
"(5, 3, 0, 3)","[{26, 5}]"
"(5, 3, 1, 6)","[{16, 2, 22}]"
"(5, 3, 1, '_')","[{2, 22}]"
"(5, 3, 2, 6)","[{16, 2, 23}]"
"(5, 3, 5, 2)","[{24, 18}]"
"(5, 3, 6, 1)","[{2, 21, 15}]"
"(5, 3, '_', 6)","[{16, 2, 21, 14}]"
"(5, 3, '_', 7)","[{2, 21, 23}]"
"(5, 3, '_', '_')","[{2, 21, 22}]"
"(5, 4, 0, 6)","[{16, 2, 26, 14}]"
"(5, 4, 2, 1)","[{3, 6, 7}, {3, 13, 6, 7}]"
"(5, 4, 2, 5)","[{2, 6, 23}, {16, 2, 7}]"
"(5, 4, 3, 6)","[{2, 14, 15}]"
"(5, 4, 7, 4)","[{10, 20}]"
"(5, 5, 2, 1)","[{3, 23, 6, 7}]"
"(5, 5, 2, 6)","[{16, 3, 6, 23}]"
"(5, 5, 3, 2)","[{24, 15}]"
"(5, 5, 4, 0)","[{8, 21}]"
"(5, 5, 5, 1)","[{18, 5, 7}]"
"(5, 5, 7, 3)","[{10, 5}, {10, 5}, {10, 5}]"
"(5, 6, 0, 6)","[{26, 14}]"
"(5, 6, 1, 0)","[{16, 21}]"
"(5, 6, 1, 3)","[{16, 5}]"
"(5, 6, 2, 0)","[{21, 22}, {21, 23}]"
"(5, 6, 3, 6)","[{16, 14, 15}]"
"(5, 6, 5, 0)","[{18, 21}, {21, 14}, {25, 14, 17}, {25, 18, 21}]"
"(5, 6, 5, 5)","[{25, 18, 14}, {25, 18, 19}]"
"(5, 6, '_', 3)","[{25, 5}]"
"(5, 6, '_', '_')","[{16, 25, 14}]"
"(5, 7, 0, 3)","[{26, 2, 20}]"
"(5, 7, 0, 4)","[{26, 20}]"
"(5, 7, 0, 5)","[{26, 20, 7}]"
"(5, 7, 1, 7)","[{16, 2, 22}]"
"(5, 7, 2, 0)","[{17, 20, 21}]"
"(5, 7, 2, 6)","[{20, 6, 23}]"
"(5, 7, 7, 0)","[{10, 21}]"
"(5, '_', 0, 3)","[{26, 5}]"
"(5, '_', 5, 2)","[{24, 18}, {24, 18}]"
"(5, '_', '_', 6)","[{16, 2, 18, 14}]"
"(5, '_', '_', '_')","[{3, 7}]"
"(6, 0, 2, 0)","[{21, 6, 23}]"
"(6, 0, 2, 6)","[{8, 6, 23}]"
"(6, 0, 5, 1)","[{16, 4, 12}]"
"(6, 0, 5, '_')","[{16, 17, 4, 15}]"
"(6, 0, 6, 3)","[{11, 5}]"
"(6, 0, '_', 5)","[{16, 19, 4, 7}]"
"(6, 1, 5, 0)","[{18, 21}, {18, 21}]"
"(6, 1, '_', 7)","[{2, 4, 7}]"
"(6, 2, 3, 0)","[{21, 15}, {21, 15}, {21, 15}]"
"(6, 2, 4, 1)","[{8, 23}]"
"(6, 2, 4, 2)","[{24, 19}, {24, 19}]"
"(6, 2, 6, 6)","[{16, 2, 11, 14}]"
"(6, 3, 0, 5)","[{2, 26, 21}]"
"(6, 3, 2, 3)","[{5, 6, 23}]"
"(6, 3, 3, 4)","[{20, 15}]"
"(6, 3, 5, 2)","[{24, 18}]"
"(6, 3, 6, 7)","[{11, 4, 21}]"
"(6, 3, 6, '_')","[{2, 11, 4}]"
"(6, 3, '_', 7)","[{2, 7, 21, 23}]"
"(6, 4, 1, 5)","[{16, 7}]"
"(6, 4, 1, 7)","[{16, 7}]"
"(6, 4, 2, 0)","[{17, 21, 6}]"
"(6, 4, 4, 2)","[{8, 24}]"
"(6, 4, 4, 3)","[{8, 5}]"
"(6, 5, 1, 6)","[{16, 2, 3}]"
"(6, 5, 2, '_')","[{3, 23, 6, 7}]"
"(6, 5, 4, 2)","[{24, 8}]"
"(6, 5, 6, 6)","[{16, 11}]"
"(6, 5, '_', 5)","[{19, 4, 7}, {19, 5, 7}]"
"(6, 5, '_', '_')","[{15, 5, 7}]"
"(6, 6, 0, 6)","[{25, 26, 14}]"
"(6, 6, 2, 0)","[{21, 23}, {21, 22, 23}]"
"(6, 6, 3, 0)","[{21, 5, 14, 7}, {21, 5, 14}]"
"(6, 6, 3, 5)","[{25, 15, 14, 7}]"
"(6, 6, 4, 2)","[{24, 25, 14, 23}]"
"(6, 6, 5, 0)","[{25, 21, 14}, {25, 18, 14, 23}, {25, 18, 14, 17}]"
"(6, 6, 5, 6)","[{18, 14}]"
"(6, 6, 5, '_')","[{25, 18, 14}, {25, 18, 14}]"
"(6, 6, 6, 1)","[{16, 25, 11, 14}]"
"(6, 6, 6, 3)","[{11, 5}]"
"(6, 6, 6, 6)","[{25, 11, 14}, {11, 14}, {11, 14}]"
"(6, 6, 7, 2)","[{25, 10, 14}]"
"(6, 6, '_', '_')","[{25, 3, 14}]"
"(6, 7, 1, 7)","[{16, 2, 3, 22}]"
"(6, 7, 2, 0)","[{17, 21, 6}]"
"(6, 7, 3, 6)","[{2, 20, 15}, {20, 15}]"
"(6, 7, 4, 3)","[{8, 5}]"
"(6, 7, 6, 1)","[{9, 11, 20}]"
"(6, 7, 7, 0)","[{10, 21}]"
"(6, '_', 0, 0)","[{26, 21}]"
"(6, '_', 1, 3)","[{16, 5, 23}]"
"(6, '_', 1, 7)","[{16, 2, 7}, {16, 7}, {16, 7}]"
"(6, '_', 4, 3)","[{5, 23}]"
"(6, '_', '_', 5)","[{25, 19, 7}]"
"(7, 0, 2, 3)","[{5, 6, 23}]"
"(7, 0, 4, 3)","[{16, 8, 4, 22}]"
"(7, 0, 5, 7)","[{16, 4, 13, 7}]"
"(7, 0, 5, '_')","[{16, 18, 4}, {16, 18, 4, 22}]"
"(7, 0, 6, 1)","[{11, 4, 13}, {16, 11, 4, 22}]"
"(7, 0, '_', 1)","[{16, 3, 4}]"
"(7, 1, 1, 3)","[{16, 3, 5}]"
"(7, 1, 3, 6)","[{2, 14, 15}]"
"(7, 1, 5, 2)","[{24, 18}]"
"(7, 1, 5, 3)","[{18, 5}]"
"(7, 1, 6, 5)","[{2, 11, 22}, {3, 2, 11, 22}]"
"(7, 1, 6, '_')","[{2, 3, 4, 22}, {3, 2, 11}]"
"(7, 1, 7, 0)","[{10, 21}]"
"(7, 2, 1, 1)","[{16, 19}]"
"(7, 2, 4, 0)","[{8, 21}]"
"(7, 3, 1, 6)","[{16, 2, 22, 14}, {16, 2, 22}]"
"(7, 3, 5, 1)","[{2, 18, 21}]"
"(7, 4, 1, 2)","[{16, 24, 2}]"
"(7, 4, 1, 3)","[{16, 3, 5}, {16, 3, 5}]"
"(7, 4, 1, '_')","[{16, 2, 3, 7}]"
"(7, 4, 2, 3)","[{5, 6, 23}]"
"(7, 4, 5, 5)","[{18, 7}]"
"(7, 4, 6, 1)","[{3, 2, 11}]"
"(7, 4, '_', 5)","[{19, 2, 3, 7}]"
"(7, 5, 1, 7)","[{16, 23}]"
"(7, 5, 6, 6)","[{11, 14}]"
"(7, 5, '_', 5)","[{19, 5, 7}, {19, 5, 7}]"
"(7, 6, 0, '_')","[{25, 26, 14}]"
"(7, 6, 3, 3)","[{5, 14}]"
"(7, 6, 3, 7)","[{25, 14, 15}]"
"(7, 6, 4, 0)","[{8, 25, 14}, {8, 25, 14, 23}, {25, 14, 23}]"
"(7, 6, 4, 4)","[{25, 20, 23}]"
"(7, 6, 5, 0)","[{17, 21, 14}]"
"(7, 6, 6, 6)","[{16, 2, 14}]"
"(7, 6, 7, 1)","[{16, 25, 10}]"
"(7, 6, '_', 0)","[{21, 14}]"
"(7, 6, '_', 3)","[{25, 5, 14}, {25, 5, 14}]"
"(7, 7, 0, 3)","[{26, 5}]"
"(7, 7, 0, 4)","[{26, 20}]"
"(7, 7, 0, 5)","[{26, 2, 20}]"
"(7, 7, 1, 6)","[{16, 2, 3, 20}]"
"(7, 7, 2, 6)","[{20, 6, 23}]"
"(7, 7, 6, 5)","[{11, 20}]"
"(7, 7, 6, 6)","[{2, 11, 20}]"
"(7, 7, 6, '_')","[{2, 11, 20}]"
"(7, '_', 1, '_')","[{16, 2, 3, 7}, {16, 3}]"
"(7, '_', 4, 3)","[{8, 5, 23}, {8, 5, 23}]"
"(7, '_', 5, 1)","[{18, 3, 4, 13}]"
"(7, '_', 6, 3)","[{11, 5}]"
"(7, '_', 7, '_')","[{16, 10}]"
"(7, '_', '_', '_')","[{3, 7}, {25, 3, 7}]"
"('_', 0, 0, 3)","[{26, 5}]"
"('_', 0, 1, 3)","[{16, 9, 5}]"
"('_', 0, 1, 4)","[{16, 20}]"
"('_', 0, 2, 0)","[{17, 5, 21, 7}]"
"('_', 0, 2, 2)","[{6, 23}]"
"('_', 0, 2, 5)","[{8, 4, 6, 23}]"
"('_', 0, 4, 3)","[{16, 8, 4}]"
"('_', 0, 4, 4)","[{8, 20}]"
"('_', 0, 4, '_')","[{8, 16, 4}]"
"('_', 0, 5, 0)","[{17, 21, 22}]"
"('_', 0, 5, 6)","[{16, 18, 14}]"
"('_', 0, 5, '_')","[{16, 18, 4, 13}]"
"('_', 0, 6, 1)","[{16, 11, 4}]"
"('_', 0, 6, 4)","[{11, 20}]"
"('_', 0, 6, 5)","[{19, 11, 4}]"
"('_', 0, 6, '_')","[{11, 4}, {16, 11, 4}]"
"('_', 0, 7, 3)","[{16, 10}]"
"('_', 0, 7, '_')","[{10, 21}]"
"('_', 0, '_', 0)","[{16, 17, 4, 21}, {17, 4, 21}, {17, 21}, {17, 21}]"
"('_', 0, '_', 3)","[{4, 5}]"
"('_', 0, '_', 5)","[{4, 6, 23}, {26, 4}]"
"('_', 0, '_', '_')","[{16, 4, 7}, {8, 16, 4}, {16, 4}, {16, 17, 4}, {16, 4, 22}]"
"('_', 1, 0, 2)","[{24, 26}]"
"('_', 1, 1, 2)","[{16, 24, 2}]"
"('_', 1, 1, 3)","[{16, 5}]"
"('_', 1, 2, 3)","[{5, 6, 23}]"
"('_', 1, 5, 5)","[{2, 18, 4}, {18, 7}]"
"('_', 1, 6, 1)","[{3, 2, 11, 4}]"
"('_', 1, 6, 4)","[{11, 20}, {11, 20}]"
"('_', 1, 6, 7)","[{2, 11, 4}]"
"('_', 1, 6, '_')","[{2, 11}]"
"('_', 1, 7, 4)","[{10, 20}]"
"('_', 1, '_', '_')","[{2, 3, 4, 7}]"
"('_', 2, 1, 3)","[{16, 5}]"
"('_', 2, 1, '_')","[{16, 13}]"
"('_', 2, 3, '_')","[{19, 15}]"
"('_', 2, 4, 0)","[{8, 21}]"
"('_', 2, 4, 2)","[{24, 19}, {24, 19, 23}]"
"('_', 2, 5, 1)","[{3, 19}]"
"('_', 2, 5, 5)","[{18, 19}]"
"('_', 2, 5, 7)","[{18, 19}]"
"('_', 2, 5, '_')","[{18, 19}]"
"('_', 2, 6, 2)","[{24, 11}]"
"('_', 2, 6, 4)","[{11, 20}, {11, 20}, {9, 20}]"
"('_', 2, 7, '_')","[{10, 19}]"
"('_', 2, '_', 3)","[{19, 5}]"
"('_', 2, '_', 5)","[{19, 4}]"
"('_', 2, '_', 6)","[{16, 2, 14}]"
"('_', 2, '_', '_')",[{19}]
"('_', 3, 0, 1)","[{2, 26}]"
"('_', 3, 0, 3)","[{26, 5}]"
"('_', 3, 0, 5)","[{26, 2, 21}]"
"('_', 3, 1, '_')","[{2, 21, 22}, {2, 21, 22}, {2, 21, 22}, {2, 21, 22}, {2, 22}]"
"('_', 3, 2, 3)","[{5, 6}, {6, 23}]"
"('_', 3, 2, 6)","[{2, 23}]"
"('_', 3, 5, 1)","[{18, 21}]"
"('_', 3, 5, 2)","[{24, 18}]"
"('_', 3, 5, 5)","[{19, 2, 18, 21}]"
"('_', 3, 6, 3)","[{11, 5}, {11, 5}]"
"('_', 3, 6, 7)","[{2, 11, 4, 7}, {2, 11, 4}, {2, 11, 21}, {11, 21}]"
"('_', 3, 6, '_')","[{2, 21}]"
"('_', 3, 7, 7)","[{2, 13}]"
"('_', 3, '_', '_')","[{2, 21}, {2, 21, 22}]"
"('_', 4, 0, 0)","[{26, 21}, {26, 21}]"
"('_', 4, 1, 5)","[{16, 3, 7}]"
"('_', 4, 1, 6)","[{16, 2, 3}]"
"('_', 4, 1, 7)","[{16, 2, 3}]"
"('_', 4, 1, '_')","[{16, 3, 7}]"
"('_', 4, 2, 0)","[{17, 21}]"
"('_', 4, 2, 3)","[{5, 6, 23}]"
"('_', 4, 2, 5)","[{3, 7, 6, 23}]"
"('_', 4, 2, '_')","[{23, 6, 7}]"
"('_', 4, 4, 3)","[{8, 23}]"
"('_', 4, 5, 5)","[{18, 3, 7}]"
"('_', 4, 6, 3)","[{11, 5}]"
"('_', 4, 7, 4)","[{10, 20}]"
"('_', 4, '_', 3)","[{2, 5}]"
"('_', 4, '_', '_')","[{2, 3}, {2, 3, 7}, {16, 2, 3, 7}, {2, 3, 7}]"
"('_', 5, 0, 0)","[{26, 21}]"
"('_', 5, 0, 6)","[{2, 26, 14}]"
"('_', 5, 1, 6)","[{16, 24, 23}]"
"('_', 5, 1, '_')","[{16, 24}]"
