message,symbols,fixed attribute values
"(2, 2, 5, 5, 5, 0)","{2, 5}","('_', '_', '_', '_', 0)"
"(2, 2, 5, 5, 7, 0)","{2, 5, 7}","(0, 1, 2, 3, 0)"
"(2, 2, 7, 2, 2, 0)","{2, 7}","(1, 1, 2, 1, 1)"
"(2, 2, 7, 7, 7, 0)","{2, 7}","('_', 1, 2, 1, '_')"
"(2, 2, 9, 2, 2, 0)","{9, 2}","(1, 1, '_', 2, '_')"
"(2, 2, 9, 2, 9, 0)","{9, 2}","(2, 1, '_', 2, 0)"
"(2, 2, 9, 9, 2, 0)","{9, 2}","(2, 1, 1, 2, '_')"
"(2, 2, 9, 9, 9, 0)","{9, 2}","(0, 1, '_', 2, '_')"
"(2, 2, 10, 2, 2, 0)","{2, 10}","(3, 1, 3, 2, 0)"
"(2, 3, 2, 2, 2, 0)","{2, 3}","('_', 1, 0, '_', 0)"
"(2, 3, 2, 2, 3, 0)","{2, 3}","(2, 1, 0, '_', '_')"
"(2, 3, 2, 2, 6, 0)","{2, 3, 6}","(0, 1, 0, '_', 0)"
"(2, 3, 2, 3, 2, 0)","{2, 3}","('_', 1, 0, '_', 2)"
"(2, 3, 3, 3, 2, 0)","{2, 3}","(2, 1, 0, '_', 2)"
"(2, 3, 3, 3, 6, 0)","{2, 3, 6}","('_', 1, 0, '_', 1)"
"(2, 4, 2, 4, 2, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 4, 2, 4, 4, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 4, 2, 4, 7, 0)","{2, 4, 7}","(0, 1, 2, 0, 0)"
"(2, 4, 2, 4, 8, 0)","{8, 2, 4}","('_', 1, '_', 0, '_')"
"(2, 4, 4, 8, 4, 0)","{8, 2, 4}","('_', 1, 0, 0, 1)"
"(2, 4, 7, 4, 4, 0)","{2, 4, 7}","('_', 1, 2, 0, 0)"
"(2, 4, 7, 7, 7, 0)","{2, 4, 7}","(0, 1, 2, 1, 3)"
"(2, 4, 8, 2, 4, 0)","{8, 2, 4}","(1, 1, '_', 0, 1)"
