message,symbols,fixed attribute values
"(7, 7, 1, 7, 1, 0)","{1, 7}","(0, 0, 2, 2, 2)"
"(7, 7, 2, 2, 2, 0)","{2, 7}","(2, 1, 2, '_', 3)"
"(7, 7, 2, 2, 7, 0)","{2, 7}","('_', 1, 2, '_', 0)"
"(7, 7, 2, 2, 9, 0)","{9, 2, 7}","(2, 1, 2, 2, 2)"
"(7, 7, 2, 7, 2, 0)","{2, 7}","(0, 1, 2, 2, 1)"
"(7, 7, 2, 7, 7, 0)","{2, 7}","('_', 1, 2, '_', '_')"
"(7, 7, 4, 7, 4, 0)","{4, 7}","(1, 3, 2, 0, '_')"
"(7, 7, 4, 7, 7, 0)","{4, 7}","(2, 2, 2, 1, 2)"
"(7, 7, 4, 8, 4, 0)","{8, 4, 7}","(3, 3, 2, 0, 3)"
"(7, 7, 4, 14, 7, 0)","{4, 14, 7}","(2, 2, 2, 1, '_')"
"(7, 7, 5, 5, 5, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(7, 7, 5, 7, 5, 0)","{5, 7}","(0, 3, 2, 3, '_')"
"(7, 7, 5, 7, 7, 0)","{5, 7}","('_', '_', 2, '_', '_')"
"(7, 7, 6, 6, 7, 0)","{6, 7}","(2, 2, 2, 1, 1)"
"(7, 7, 6, 7, 7, 0)","{6, 7}","(1, 2, 2, 2, 0)"
"(7, 7, 7, 2, 2, 0)","{2, 7}","(3, 1, 2, 1, '_')"
"(7, 7, 7, 2, 7, 0)","{2, 7}","(2, 1, 2, 2, 2)"
"(7, 7, 7, 4, 7, 0)","{4, 7}","(3, 3, 2, '_', 0)"
"(7, 7, 7, 5, 5, 0)","{5, 7}","(0, '_', 2, 3, 2)"
"(7, 7, 7, 5, 7, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(7, 7, 7, 6, 1, 0)","{1, 6, 7}","(1, 0, 2, '_', 2)"
"(7, 7, 7, 7, 1, 0)","{1, 7}","(1, 0, 2, 1, '_')"
"(7, 7, 7, 7, 2, 0)","{2, 7}","(3, 1, 2, 1, 1)"
"(7, 7, 7, 7, 5, 0)","{5, 7}","(0, 3, 2, 3, '_')"
"(7, 7, 7, 7, 7, 0)",{7},"('_', '_', '_', '_', '_')"
"(7, 7, 7, 7, 8, 0)","{8, 7}","(2, 3, 2, 3, 2)"
"(7, 7, 7, 7, 9, 0)","{9, 7}","(3, '_', 2, 2, 3)"
"(7, 7, 7, 7, 14, 0)","{14, 7}","(1, '_', 2, 1, 2)"
"(7, 7, 7, 7, 15, 0)","{15, 7}","('_', '_', 2, '_', 2)"
"(7, 7, 7, 8, 7, 0)","{8, 7}","(2, 3, 2, 2, 3)"
"(7, 7, 7, 9, 7, 0)","{9, 7}","(2, '_', 2, 2, 0)"
"(7, 7, 7, 13, 14, 0)","{13, 14, 7}","(2, '_', 2, 1, '_')"
"(7, 7, 7, 14, 6, 0)","{6, 14, 7}","('_', '_', 2, 1, 1)"
"(7, 7, 7, 14, 7, 0)","{14, 7}","('_', '_', 2, 1, '_')"
"(7, 7, 7, 14, 14, 0)","{14, 7}","(1, '_', 2, 1, '_')"
"(7, 7, 7, 15, 7, 0)","{15, 7}","('_', 2, 2, '_', '_')"
"(7, 7, 7, 15, 15, 0)","{15, 7}","('_', 2, 2, '_', '_')"
"(7, 7, 8, 7, 7, 0)","{8, 7}","(3, 3, 2, 2, 1)"
"(7, 7, 9, 7, 2, 0)","{9, 2, 7}","(2, 1, 2, 2, 3)"
"(7, 7, 9, 7, 7, 0)","{9, 7}","('_', '_', 2, 2, '_')"
"(7, 7, 9, 9, 7, 0)","{9, 7}","(3, '_', 2, 2, 3)"
"(7, 7, 13, 13, 13, 0)","{13, 7}","(2, '_', 2, '_', 3)"
"(7, 7, 14, 7, 7, 0)","{14, 7}","(1, '_', 2, 1, '_')"
"(7, 7, 14, 7, 14, 0)","{14, 7}","(1, '_', 2, 1, 1)"
"(7, 7, 14, 14, 7, 0)","{14, 7}","(1, '_', 2, 1, 1)"
"(7, 7, 14, 14, 14, 0)","{14, 7}","(1, '_', 2, 1, '_')"
"(7, 7, 15, 7, 7, 0)","{15, 7}","(2, 2, 2, '_', '_')"
"(7, 7, 15, 7, 15, 0)","{15, 7}","(2, 2, 2, '_', '_')"
"(7, 7, 15, 15, 7, 0)","{15, 7}","('_', 2, 2, '_', '_')"
"(7, 7, 15, 15, 15, 0)","{15, 7}","('_', 2, 2, '_', '_')"
"(7, 8, 7, 4, 8, 0)","{8, 4, 7}","(0, 3, 2, 0, 1)"
"(7, 8, 7, 7, 5, 0)","{8, 5, 7}","(1, 3, 2, 3, 3)"
"(7, 8, 7, 7, 7, 0)","{8, 7}","(3, 3, 2, 3, '_')"
"(7, 8, 7, 7, 9, 0)","{8, 9, 7}","(1, 3, 2, 2, 3)"
"(7, 8, 7, 9, 7, 0)","{8, 9, 7}","(1, 3, 2, 2, 1)"
"(7, 9, 7, 7, 7, 0)","{9, 7}","('_', '_', 2, 2, '_')"
"(7, 9, 7, 7, 9, 0)","{9, 7}","(2, '_', 2, 2, 0)"
"(7, 9, 7, 9, 7, 0)","{9, 7}","(0, '_', 2, 2, 1)"
"(7, 9, 9, 7, 6, 0)","{9, 6, 7}","(2, '_', 2, 2, 2)"
"(7, 9, 9, 7, 7, 0)","{9, 7}","(2, '_', 2, 2, 2)"
"(7, 9, 9, 7, 9, 0)","{9, 7}","(3, '_', 2, 2, 0)"
"(7, 9, 9, 7, 15, 0)","{9, 15, 7}","(0, 2, 2, 2, 1)"
"(7, 9, 9, 9, 7, 0)","{9, 7}","('_', '_', 2, 2, '_')"
"(7, 9, 9, 9, 9, 0)","{9, 7}","('_', '_', '_', 2, '_')"
"(7, 9, 15, 7, 15, 0)","{9, 15, 7}","(1, 2, 2, 2, 3)"
"(7, 11, 7, 12, 12, 0)","{11, 12, 7}","('_', '_', '_', '_', 3)"
"(7, 13, 13, 7, 7, 0)","{13, 7}","(2, '_', 2, '_', 3)"
"(7, 14, 14, 7, 14, 0)","{14, 7}","(1, '_', 2, 1, 1)"
"(7, 15, 6, 7, 6, 0)","{15, 6, 7}","(1, 2, 2, 2, 1)"
"(7, 15, 7, 6, 7, 0)","{15, 6, 7}","(1, 2, 2, 1, 1)"
"(7, 15, 7, 7, 7, 0)","{15, 7}","(2, 2, 2, '_', '_')"
"(7, 15, 7, 7, 15, 0)","{15, 7}","(0, 2, 2, '_', 1)"
"(7, 15, 7, 15, 7, 0)","{15, 7}","('_', 2, 2, '_', 0)"
"(7, 15, 7, 15, 15, 0)","{15, 7}","(0, 2, 2, '_', '_')"
"(7, 15, 15, 4, 15, 0)","{15, 4, 7}","(3, 2, 2, '_', 2)"
"(7, 15, 15, 7, 4, 0)","{15, 4, 7}","(3, 2, 2, '_', 0)"
"(7, 15, 15, 7, 7, 0)","{15, 7}","(0, 2, 2, '_', 2)"
"(7, 15, 15, 7, 15, 0)","{15, 7}","('_', 2, 2, '_', 0)"
"(7, 15, 15, 15, 4, 0)","{15, 4, 7}","(3, 2, 2, '_', 2)"
"(7, 15, 15, 15, 7, 0)","{15, 7}","(2, 2, 2, '_', 1)"
"(7, 15, 15, 15, 15, 0)","{15, 7}","('_', 2, 2, '_', '_')"
"(8, 1, 4, 4, 4, 0)","{8, 1, 4}","('_', 0, 2, 0, 2)"
"(8, 2, 4, 8, 4, 0)","{8, 2, 4}","(1, 1, 2, 0, 2)"
"(8, 3, 8, 6, 8, 0)","{8, 3, 6}","(0, 3, 0, '_', 0)"
"(8, 4, 4, 4, 4, 0)","{8, 4}","('_', '_', '_', 0, '_')"
"(8, 4, 4, 4, 8, 0)","{8, 4}","('_', '_', '_', 0, '_')"
"(8, 4, 4, 7, 4, 0)","{8, 4, 7}","('_', '_', 2, 0, '_')"
"(8, 4, 4, 8, 4, 0)","{8, 4}","('_', '_', '_', 0, '_')"
"(8, 4, 7, 4, 4, 0)","{8, 4, 7}","(0, '_', 2, 0, '_')"
"(8, 4, 7, 4, 7, 0)","{8, 4, 7}","(3, 3, 2, 0, 3)"
"(8, 4, 7, 4, 8, 0)","{8, 4, 7}","('_', 3, 2, 0, 2)"
"(8, 4, 8, 4, 4, 0)","{8, 4}","('_', '_', '_', 0, '_')"
"(8, 4, 8, 4, 7, 0)","{8, 4, 7}","('_', 3, 2, 0, 0)"
"(8, 4, 8, 4, 8, 0)","{8, 4}","('_', '_', '_', 0, '_')"
"(8, 4, 12, 4, 4, 0)","{8, 4, 12}","('_', '_', 2, 0, 2)"
"(8, 4, 12, 12, 12, 0)","{8, 4, 12}","('_', '_', '_', '_', 2)"
"(8, 5, 5, 5, 5, 0)","{8, 5}","(1, 3, '_', 3, 3)"
"(8, 5, 5, 11, 5, 0)","{8, 11, 5}","(1, 3, '_', 3, 3)"
"(8, 5, 7, 5, 7, 0)","{8, 5, 7}","('_', 3, 2, 3, '_')"
"(8, 5, 7, 7, 7, 0)","{8, 5, 7}","(2, 3, 2, 3, 1)"
"(8, 5, 8, 5, 5, 0)","{8, 5}","('_', 3, '_', 3, 1)"
"(8, 7, 4, 4, 4, 0)","{8, 4, 7}","(1, 3, 2, 0, '_')"
"(8, 7, 4, 4, 8, 0)","{8, 4, 7}","(1, 3, 2, 0, 0)"
"(8, 7, 4, 7, 4, 0)","{8, 4, 7}","('_', 3, 2, 0, '_')"
"(8, 7, 4, 8, 4, 0)","{8, 4, 7}","('_', 3, 2, 0, '_')"
"(8, 7, 5, 5, 5, 0)","{8, 5, 7}","(3, 3, 2, 3, '_')"
"(8, 7, 7, 4, 8, 0)","{8, 4, 7}","('_', 3, 2, 0, 3)"
"(8, 7, 7, 5, 5, 0)","{8, 5, 7}","(3, 3, 2, 3, '_')"
"(8, 7, 7, 5, 7, 0)","{8, 5, 7}","(2, 3, 2, 3, 2)"
"(8, 7, 7, 7, 4, 0)","{8, 4, 7}","('_', 3, 2, 0, 3)"
"(8, 7, 7, 7, 7, 0)","{8, 7}","('_', 3, 2, '_', '_')"
"(8, 7, 7, 8, 4, 0)","{8, 4, 7}","('_', 3, 2, 0, 2)"
"(8, 7, 7, 8, 7, 0)","{8, 7}","(3, 3, 2, 2, 3)"
"(8, 7, 8, 4, 8, 0)","{8, 4, 7}","(1, 3, 2, 0, 3)"
"(8, 7, 8, 7, 7, 0)","{8, 7}","(0, 3, 2, '_', 3)"
"(8, 7, 8, 7, 8, 0)","{8, 7}","(0, 3, 2, '_', 3)"
"(8, 7, 8, 8, 8, 0)","{8, 7}","(3, 3, 2, '_', 3)"
"(8, 7, 9, 9, 6, 0)","{8, 9, 6, 7}","(1, 3, 2, 2, 1)"
"(8, 8, 3, 3, 8, 0)","{8, 3}","(2, 3, 0, '_', '_')"
"(8, 8, 3, 8, 3, 0)","{8, 3}","('_', 3, 0, '_', 2)"
"(8, 8, 3, 8, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(8, 8, 4, 4, 8, 0)","{8, 4}","(0, 3, '_', 0, 2)"
"(8, 8, 4, 8, 4, 0)","{8, 4}","('_', 3, '_', 0, '_')"
"(8, 8, 4, 8, 8, 0)","{8, 4}","(0, 3, '_', 0, 0)"
"(8, 8, 4, 8, 10, 0)","{8, 10, 4}","(2, 3, 3, 0, 0)"
"(8, 8, 5, 5, 5, 0)","{8, 5}","(1, 3, 1, 3, 1)"
"(8, 8, 7, 5, 7, 0)","{8, 5, 7}","('_', 3, 2, 3, 3)"
"(8, 8, 7, 7, 7, 0)","{8, 7}","(1, 3, 2, 0, 3)"
"(8, 8, 7, 7, 8, 0)","{8, 7}","('_', 3, '_', 2, '_')"
"(8, 8, 7, 8, 4, 0)","{8, 4, 7}","(2, 3, 2, 0, 1)"
"(8, 8, 7, 8, 7, 0)","{8, 7}","('_', 3, 2, '_', 3)"
"(8, 8, 8, 3, 3, 0)","{8, 3}","(1, 3, 0, '_', '_')"
"(8, 8, 8, 3, 6, 0)","{8, 3, 6}","('_', 3, 0, '_', '_')"
"(8, 8, 8, 3, 8, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(8, 8, 8, 4, 8, 0)","{8, 4}","('_', 3, '_', 0, '_')"
"(8, 8, 8, 6, 6, 0)","{8, 6}","(0, 3, 0, '_', 0)"
"(8, 8, 8, 6, 8, 0)","{8, 6}","(1, 3, 0, '_', '_')"
"(8, 8, 8, 7, 8, 0)","{8, 7}","(1, 3, '_', '_', 3)"
"(8, 8, 8, 7, 12, 0)","{8, 12, 7}","(0, 3, '_', '_', 2)"
"(8, 8, 8, 8, 3, 0)","{8, 3}","('_', 3, 0, '_', '_')"
"(8, 8, 8, 8, 4, 0)","{8, 4}","('_', 3, '_', 0, '_')"
"(8, 8, 8, 8, 6, 0)","{8, 6}","('_', 3, '_', '_', '_')"
"(8, 8, 8, 8, 7, 0)","{8, 7}","('_', 3, '_', '_', '_')"
"(8, 8, 8, 8, 8, 0)",{8},"('_', 3, '_', '_', '_')"
"(8, 8, 8, 8, 9, 0)","{8, 9}","('_', 3, '_', 2, 3)"
"(8, 8, 8, 8, 11, 0)","{8, 11}","(3, 3, 0, 2, 1)"
"(8, 8, 8, 8, 13, 0)","{8, 13}","(2, 3, 0, '_', 2)"
"(8, 8, 8, 9, 7, 0)","{8, 9, 7}","(0, 3, '_', 2, 1)"
"(8, 8, 8, 9, 8, 0)","{8, 9}","(1, 3, '_', 2, 1)"
"(8, 8, 8, 9, 9, 0)","{8, 9}","(0, 3, '_', 2, '_')"
"(8, 8, 8, 10, 10, 0)","{8, 10}","(1, 3, '_', 0, 3)"
"(8, 8, 8, 11, 8, 0)","{8, 11}","('_', 3, 0, '_', 1)"
"(8, 8, 8, 13, 8, 0)","{8, 13}","(2, 3, '_', '_', 2)"
"(8, 8, 9, 3, 3, 0)","{8, 9, 3}","(2, 3, 0, 2, 2)"
"(8, 8, 9, 8, 8, 0)","{8, 9}","('_', 3, '_', 2, '_')"
"(8, 8, 9, 8, 9, 0)","{8, 9}","(0, 3, '_', 2, 2)"
"(8, 8, 9, 9, 8, 0)","{8, 9}","(2, 3, '_', 2, 2)"
"(8, 8, 9, 9, 9, 0)","{8, 9}","('_', 3, '_', 2, 2)"
"(8, 8, 10, 10, 8, 0)","{8, 10}","('_', 3, 3, 0, 1)"
"(8, 8, 10, 10, 10, 0)","{8, 10}","('_', 3, 3, 0, 1)"
"(8, 8, 11, 5, 5, 0)","{8, 11, 5}","('_', 3, '_', 3, 3)"
"(8, 9, 8, 7, 7, 0)","{8, 9, 7}","('_', 3, '_', 2, '_')"
"(8, 9, 8, 8, 8, 0)","{8, 9}","('_', 3, '_', 2, '_')"
"(8, 9, 8, 9, 9, 0)","{8, 9}","(0, 3, '_', 2, 0)"
"(8, 9, 9, 8, 7, 0)","{8, 9, 7}","('_', 3, '_', 2, 0)"
"(8, 9, 9, 8, 8, 0)","{8, 9}","(0, 3, '_', 2, '_')"
"(8, 9, 9, 8, 9, 0)","{8, 9}","('_', 3, '_', 2, 2)"
"(8, 9, 9, 9, 8, 0)","{8, 9}","(2, 3, '_', 2, 2)"
"(8, 9, 9, 9, 9, 0)","{8, 9}","('_', 3, '_', 2, '_')"
"(8, 10, 4, 4, 8, 0)","{8, 10, 4}","(3, 3, 3, 0, '_')"
"(8, 10, 4, 8, 4, 0)","{8, 10, 4}","('_', 3, 3, 0, '_')"
"(8, 10, 10, 4, 4, 0)","{8, 10, 4}","(0, '_', 3, 0, '_')"
"(8, 10, 10, 4, 8, 0)","{8, 10, 4}","(0, 3, 3, 0, '_')"
"(8, 10, 10, 4, 10, 0)","{8, 10, 4}","(1, 3, 3, 0, 0)"
"(8, 10, 10, 10, 4, 0)","{8, 10, 4}","('_', 3, 3, 0, 2)"
"(8, 10, 10, 10, 10, 0)","{8, 10}","('_', 3, 3, '_', '_')"
"(8, 13, 12, 12, 12, 0)","{8, 12, 13}","('_', '_', '_', '_', 2)"
"(9, 1, 1, 1, 1, 0)","{9, 1}","(1, 0, 1, 2, 1)"
"(9, 1, 1, 6, 1, 0)","{9, 1, 6}","(2, 0, 2, 2, 1)"
"(9, 1, 9, 1, 6, 0)","{9, 1, 6}","(2, 0, 3, 2, 1)"
"(9, 2, 2, 2, 2, 0)","{9, 2}","(1, 1, '_', 2, 0)"
"(9, 2, 2, 9, 2, 0)","{9, 2}","(0, 1, '_', 2, 0)"
"(9, 2, 2, 9, 9, 0)","{9, 2}","(0, 1, '_', 2, 2)"
"(9, 2, 9, 2, 9, 0)","{9, 2}","(2, 1, '_', 2, 0)"
"(9, 2, 9, 9, 2, 0)","{9, 2}","(2, 1, '_', 2, '_')"
"(9, 2, 9, 9, 9, 0)","{9, 2}","(2, 1, '_', 2, 3)"
"(9, 4, 4, 8, 4, 0)","{8, 9, 4}","('_', '_', '_', '_', 0)"
"(9, 4, 4, 9, 4, 0)","{9, 4}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 4, 9, 0)","{9, 4, 12}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 6, 6, 0)","{9, 4, 12, 6}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 7, 7, 0)","{9, 4, 12, 7}","(0, '_', '_', '_', 0)"
"(9, 4, 12, 9, 4, 0)","{9, 4, 12}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 9, 9, 0)","{9, 4, 12}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 12, 12, 0)","{9, 4, 12}","('_', '_', '_', '_', '_')"
"(9, 4, 12, 12, 15, 0)","{9, 4, 12, 15}","('_', '_', '_', '_', 0)"
"(9, 4, 12, 13, 9, 0)","{9, 13, 4, 12}","(0, '_', '_', '_', 0)"
"(9, 4, 12, 13, 13, 0)","{9, 13, 4, 12}","('_', '_', '_', '_', 0)"
"(9, 6, 1, 1, 1, 0)","{9, 6, 1}","('_', 0, '_', 2, '_')"
"(9, 6, 1, 9, 1, 0)","{9, 6, 1}","(2, 0, 3, 2, 1)"
"(9, 6, 6, 1, 1, 0)","{9, 6, 1}","(2, 0, '_', 2, 1)"
"(9, 6, 12, 12, 12, 0)","{9, 12, 6}","(0, '_', '_', '_', 2)"
"(9, 6, 14, 14, 14, 0)","{9, 6, 14}","(1, '_', '_', '_', '_')"
"(9, 7, 7, 7, 7, 0)","{9, 7}","(3, '_', 2, 2, 3)"
"(9, 7, 15, 7, 15, 0)","{9, 15, 7}","(2, 2, 2, 2, '_')"
"(9, 7, 15, 15, 15, 0)","{9, 15, 7}","(2, 2, 2, 2, 3)"
"(9, 9, 1, 1, 1, 0)","{9, 1}","(2, 0, '_', 2, 1)"
"(9, 9, 2, 2, 2, 0)","{9, 2}","(1, 1, '_', 2, '_')"
"(9, 9, 2, 9, 2, 0)","{9, 2}","(2, '_', 2, 2, 2)"
"(9, 9, 2, 9, 9, 0)","{9, 2}","(2, 1, '_', 2, 1)"
"(9, 9, 6, 1, 1, 0)","{9, 6, 1}","(2, 0, '_', 2, 1)"
"(9, 9, 6, 6, 1, 0)","{9, 6, 1}","(0, 0, '_', 2, '_')"
"(9, 9, 6, 6, 6, 0)","{9, 6}","(1, '_', '_', 2, 1)"
"(9, 9, 6, 6, 9, 0)","{9, 6}","(1, '_', '_', 2, 1)"
"(9, 9, 6, 9, 6, 0)","{9, 6}","(1, '_', 0, 2, 0)"
"(9, 9, 7, 7, 7, 0)","{9, 7}","(2, '_', 2, 2, 1)"
"(9, 9, 7, 7, 15, 0)","{9, 15, 7}","(2, 2, 2, 2, 3)"
"(9, 9, 7, 9, 7, 0)","{9, 7}","(2, '_', 2, 2, 2)"
"(9, 9, 8, 8, 9, 0)","{8, 9}","(1, 3, 1, 2, 2)"
"(9, 9, 8, 9, 9, 0)","{8, 9}","(0, 3, '_', 2, 0)"
"(9, 9, 9, 1, 1, 0)","{9, 1}","(0, 0, '_', 2, 1)"
"(9, 9, 9, 2, 2, 0)","{9, 2}","(1, 1, '_', 2, 0)"
"(9, 9, 9, 2, 9, 0)","{9, 2}","(2, 1, '_', 2, 0)"
"(9, 9, 9, 6, 1, 0)","{9, 6, 1}","(2, 0, '_', 2, 0)"
"(9, 9, 9, 6, 6, 0)","{9, 6}","(2, '_', '_', 2, 1)"
"(9, 9, 9, 6, 9, 0)","{9, 6}","('_', '_', '_', 2, 0)"
"(9, 9, 9, 7, 7, 0)","{9, 7}","(2, '_', 2, 2, '_')"
"(9, 9, 9, 7, 9, 0)","{9, 7}","(2, '_', 2, 2, 3)"
"(9, 9, 9, 9, 2, 0)","{9, 2}","(2, 1, '_', 2, 0)"
"(9, 9, 9, 9, 6, 0)","{9, 6}","(0, '_', '_', 2, '_')"
"(9, 9, 9, 9, 7, 0)","{9, 7}","(2, '_', 2, 2, '_')"
"(9, 9, 9, 9, 8, 0)","{8, 9}","(0, 3, '_', 2, 0)"
"(9, 9, 9, 9, 9, 0)",{9},"('_', '_', '_', 2, '_')"
"(9, 9, 9, 9, 10, 0)","{9, 10}","(2, 1, 3, 2, 1)"
"(9, 9, 9, 10, 10, 0)","{9, 10}","(0, '_', 3, 2, '_')"
"(9, 9, 9, 13, 9, 0)","{9, 13}","(2, '_', '_', 2, 2)"
"(9, 9, 9, 15, 15, 0)","{9, 15}","(2, 2, '_', 2, 1)"
"(9, 9, 10, 10, 10, 0)","{9, 10}","('_', '_', 3, 2, '_')"
"(9, 9, 13, 9, 7, 0)","{9, 13, 7}","(2, '_', 2, 2, 3)"
"(9, 9, 15, 9, 6, 0)","{9, 6, 15}","(2, 2, '_', 2, '_')"
"(9, 9, 15, 9, 9, 0)","{9, 15}","('_', 2, '_', 2, '_')"
"(9, 9, 15, 9, 15, 0)","{9, 15}","(2, 2, '_', 2, 1)"
"(9, 9, 15, 15, 15, 0)","{9, 15}","('_', 2, '_', 2, '_')"
"(9, 10, 10, 9, 9, 0)","{9, 10}","(2, '_', 3, 2, 1)"
"(9, 10, 10, 10, 10, 0)","{9, 10}","('_', '_', 3, 2, '_')"
"(9, 12, 12, 12, 12, 0)","{9, 12}","(0, '_', '_', '_', '_')"
"(9, 15, 9, 9, 6, 0)","{9, 6, 15}","('_', 2, 1, 2, 2)"
"(9, 15, 9, 9, 9, 0)","{9, 15}","('_', 2, '_', 2, '_')"
"(9, 15, 9, 15, 15, 0)","{9, 15}","(2, 2, '_', 2, 1)"
"(9, 15, 10, 15, 10, 0)","{9, 10, 15}","(2, 2, 3, 2, '_')"
"(9, 15, 10, 15, 15, 0)","{9, 10, 15}","(2, 2, 3, 2, '_')"
"(9, 15, 15, 9, 9, 0)","{9, 15}","(0, 2, '_', 2, 1)"
"(9, 15, 15, 12, 15, 0)","{9, 12, 15}","('_', 2, 1, 2, 2)"
"(9, 15, 15, 15, 9, 0)","{9, 15}","('_', 2, '_', 2, 2)"
"(9, 15, 15, 15, 15, 0)","{9, 15}","('_', 2, '_', 2, '_')"
"(10, 1, 1, 1, 1, 0)","{1, 10}","('_', 0, 3, '_', '_')"
"(10, 1, 1, 6, 1, 0)","{1, 10, 6}","(1, 0, 3, 2, '_')"
"(10, 1, 1, 6, 6, 0)","{1, 10, 6}","(0, 0, 3, 2, 1)"
"(10, 1, 1, 6, 10, 0)","{1, 10, 6}","(0, 0, 3, 2, '_')"
"(10, 1, 5, 1, 1, 0)","{1, 10, 5}","(1, 0, 3, '_', 1)"
"(10, 1, 5, 5, 5, 0)","{1, 10, 5}","(2, 0, 3, 3, '_')"
"(10, 1, 5, 10, 10, 0)","{1, 10, 5}","(2, 0, 3, '_', 2)"
"(10, 1, 6, 1, 1, 0)","{1, 10, 6}","(2, 0, 3, '_', 3)"
"(10, 1, 6, 6, 1, 0)","{1, 10, 6}","(1, 0, 3, 2, 1)"
"(10, 1, 10, 1, 1, 0)","{1, 10}","('_', 0, 3, '_', 2)"
"(10, 1, 10, 10, 6, 0)","{1, 10, 6}","(0, 0, 3, 2, 3)"
"(10, 2, 2, 2, 2, 0)","{10, 2}","('_', 1, 3, '_', '_')"
"(10, 2, 2, 2, 4, 0)","{10, 2, 4}","('_', 1, 3, 0, 3)"
"(10, 2, 2, 2, 10, 0)","{10, 2}","(2, 1, 3, '_', '_')"
"(10, 2, 2, 4, 2, 0)","{10, 2, 4}","('_', 1, 3, 0, '_')"
"(10, 2, 2, 4, 10, 0)","{10, 2, 4}","('_', 1, 3, 0, '_')"
"(10, 2, 2, 5, 5, 0)","{10, 2, 5}","('_', 1, 3, 3, 3)"
"(10, 2, 2, 10, 2, 0)","{10, 2}","(3, 1, 3, '_', 1)"
"(10, 2, 4, 2, 2, 0)","{10, 2, 4}","(2, 1, 3, 0, 0)"
"(10, 2, 4, 2, 4, 0)","{10, 2, 4}","('_', 1, 3, 0, '_')"
"(10, 2, 4, 4, 2, 0)","{10, 2, 4}","(3, 1, 3, 0, 2)"
"(10, 2, 4, 4, 4, 0)","{10, 2, 4}","('_', 1, 3, 0, '_')"
"(10, 2, 4, 4, 8, 0)","{8, 10, 2, 4}","(1, 1, 3, 0, '_')"
"(10, 2, 4, 8, 4, 0)","{8, 10, 2, 4}","(2, 1, 3, 0, '_')"
"(10, 2, 4, 10, 4, 0)","{10, 2, 4}","('_', 1, 3, 0, '_')"
"(10, 2, 10, 2, 2, 0)","{10, 2}","('_', 1, 3, '_', '_')"
"(10, 2, 10, 2, 10, 0)","{10, 2}","('_', 1, 3, '_', 3)"
"(10, 2, 10, 4, 10, 0)","{10, 2, 4}","(2, 1, 3, 0, 2)"
"(10, 2, 10, 10, 2, 0)","{10, 2}","(0, 1, 3, 1, 3)"
"(10, 2, 10, 10, 10, 0)","{10, 2}","(1, 1, 3, '_', '_')"
"(10, 4, 2, 2, 4, 0)","{10, 2, 4}","(0, 1, 3, 0, 3)"
"(10, 4, 2, 4, 4, 0)","{10, 2, 4}","(1, 1, 3, 0, 2)"
"(10, 4, 2, 4, 8, 0)","{8, 10, 2, 4}","(0, 1, 3, 0, 3)"
"(10, 4, 4, 4, 4, 0)","{10, 4}","('_', '_', '_', 0, '_')"
"(10, 4, 4, 4, 10, 0)","{10, 4}","(3, '_', 3, 0, 0)"
"(10, 4, 4, 8, 4, 0)","{8, 10, 4}","(3, '_', 3, 0, '_')"
"(10, 4, 4, 10, 4, 0)","{10, 4}","(3, 3, 3, 0, 0)"
"(10, 4, 4, 10, 10, 0)","{10, 4}","('_', 2, 3, 0, '_')"
"(10, 4, 4, 15, 4, 0)","{10, 4, 15}","(2, 2, 3, 0, 1)"
"(10, 4, 8, 4, 4, 0)","{8, 10, 4}","('_', '_', 3, 0, '_')"
"(10, 4, 10, 4, 4, 0)","{10, 4}","('_', '_', 3, 0, '_')"
"(10, 4, 10, 4, 10, 0)","{10, 4}","('_', 2, 3, 0, 1)"
"(10, 4, 10, 10, 4, 0)","{10, 4}","('_', 2, 3, 0, 3)"
"(10, 4, 10, 10, 10, 0)","{10, 4}","(1, 2, 3, 1, 3)"
"(10, 4, 12, 4, 4, 0)","{10, 4, 12}","(0, '_', 3, 0, 2)"
"(10, 4, 15, 4, 4, 0)","{10, 4, 15}","(1, 2, 3, 0, 0)"
"(10, 4, 15, 10, 10, 0)","{10, 4, 15}","('_', 2, 3, '_', '_')"
"(10, 5, 1, 1, 1, 0)","{1, 10, 5}","(2, 0, 3, 3, 3)"
"(10, 5, 5, 1, 1, 0)","{1, 10, 5}","(0, 0, 3, 3, '_')"
"(10, 5, 5, 5, 1, 0)","{1, 10, 5}","('_', 0, 3, 3, '_')"
"(10, 5, 5, 5, 5, 0)","{10, 5}","('_', '_', 3, 3, '_')"
"(10, 5, 5, 5, 10, 0)","{10, 5}","('_', '_', 3, 3, 2)"
"(10, 5, 5, 10, 10, 0)","{10, 5}","(3, '_', 3, 3, '_')"
"(10, 5, 10, 5, 5, 0)","{10, 5}","('_', '_', 3, 3, 2)"
