message,n_concepts
"(4, 2, 4, 2, 0)",1
"(4, 2, 4, 10, 0)",1
"(4, 2, 6, 6, 0)",1
"(4, 2, 9, 4, 0)",1
"(4, 3, 6, 6, 0)",1
"(4, 4, 2, 2, 0)",2
"(4, 4, 2, 4, 0)",1
"(4, 4, 2, 10, 0)",1
"(4, 4, 2, 13, 0)",1
"(4, 4, 3, 10, 0)",1
"(4, 4, 4, 10, 0)",1
"(4, 4, 4, 13, 0)",1
"(4, 4, 6, 6, 0)",1
"(4, 4, 6, 13, 0)",1
"(4, 4, 8, 4, 0)",1
"(4, 4, 8, 8, 0)",1
"(4, 4, 9, 2, 0)",1
"(4, 4, 9, 4, 0)",1
"(4, 4, 9, 5, 0)",1
"(4, 4, 9, 10, 0)",1
"(4, 4, 10, 1, 0)",2
"(4, 4, 10, 7, 0)",1
"(4, 4, 10, 9, 0)",2
"(4, 4, 10, 10, 0)",1
"(4, 4, 13, 4, 0)",1
"(4, 4, 13, 13, 0)",1
"(4, 4, 14, 14, 0)",1
"(4, 6, 4, 6, 0)",1
"(4, 6, 4, 13, 0)",1
"(4, 6, 6, 3, 0)",1
"(4, 6, 6, 4, 0)",1
"(4, 6, 6, 6, 0)",1
"(4, 6, 6, 9, 0)",1
"(4, 6, 8, 4, 0)",1
"(4, 6, 10, 14, 0)",1
"(4, 6, 14, 11, 0)",1
"(4, 6, 14, 14, 0)",2
"(4, 8, 1, 10, 0)",1
"(4, 8, 4, 2, 0)",1
"(4, 8, 4, 6, 0)",1
"(4, 8, 13, 4, 0)",1
"(4, 9, 2, 2, 0)",1
"(4, 9, 2, 4, 0)",1
"(4, 9, 4, 4, 0)",2
"(4, 9, 4, 6, 0)",1
"(4, 9, 4, 8, 0)",1
"(4, 9, 4, 9, 0)",1
"(4, 9, 4, 14, 0)",1
"(4, 9, 9, 1, 0)",2
"(4, 9, 9, 2, 0)",1
"(4, 9, 9, 4, 0)",1
"(4, 9, 9, 7, 0)",1
"(4, 9, 9, 10, 0)",2
"(4, 9, 9, 14, 0)",1
"(4, 9, 10, 14, 0)",2
"(4, 9, 14, 4, 0)",1
"(4, 9, 14, 10, 0)",1
"(4, 9, 14, 14, 0)",1
"(4, 10, 7, 11, 0)",1
"(4, 10, 7, 14, 0)",1
"(4, 10, 9, 1, 0)",1
"(4, 10, 9, 14, 0)",1
"(4, 10, 10, 14, 0)",1
"(4, 10, 11, 10, 0)",1
"(4, 13, 1, 10, 0)",1
"(4, 13, 4, 4, 0)",2
"(4, 13, 4, 9, 0)",1
"(4, 13, 4, 13, 0)",3
"(4, 13, 6, 6, 0)",1
"(4, 13, 9, 1, 0)",1
"(4, 13, 9, 4, 0)",1
"(4, 13, 9, 10, 0)",1
"(4, 13, 10, 1, 0)",1
"(4, 13, 10, 9, 0)",1
"(4, 13, 13, 13, 0)",1
"(4, 13, 14, 4, 0)",1
"(4, 13, 14, 14, 0)",1
"(4, 14, 9, 4, 0)",1
"(4, 14, 9, 14, 0)",2
"(4, 14, 11, 14, 0)",1
"(4, 14, 14, 4, 0)",1
"(4, 14, 14, 14, 0)",1
"(5, 2, 2, 2, 0)",2
"(5, 2, 5, 2, 0)",1
"(5, 2, 5, 5, 0)",1
"(5, 2, 5, 9, 0)",1
"(5, 2, 8, 5, 0)",1
"(5, 2, 9, 2, 0)",1
"(5, 2, 9, 9, 0)",1
"(5, 2, 9, 13, 0)",1
"(5, 2, 11, 14, 0)",1
"(5, 2, 12, 13, 0)",2
"(5, 2, 13, 2, 0)",1
"(5, 2, 13, 9, 0)",1
"(5, 2, 13, 13, 0)",2
"(5, 2, 14, 2, 0)",1
"(5, 2, 14, 14, 0)",1
"(5, 5, 1, 10, 0)",1
"(5, 5, 2, 2, 0)",2
"(5, 5, 2, 10, 0)",1
"(5, 5, 2, 13, 0)",1
"(5, 5, 5, 5, 0)",1
"(5, 5, 5, 9, 0)",1
"(5, 5, 6, 6, 0)",2
"(5, 5, 6, 13, 0)",1
"(5, 5, 8, 5, 0)",1
"(5, 5, 8, 8, 0)",1
"(5, 5, 8, 10, 0)",1
"(5, 5, 8, 13, 0)",1
"(5, 5, 9, 2, 0)",1
"(5, 5, 9, 5, 0)",1
"(5, 5, 9, 13, 0)",1
"(5, 5, 10, 9, 0)",1
"(5, 5, 10, 10, 0)",1
"(5, 5, 13, 2, 0)",1
"(5, 5, 13, 6, 0)",2
"(5, 5, 13, 9, 0)",1
"(5, 5, 13, 13, 0)",1
"(5, 5, 14, 9, 0)",1
"(5, 6, 6, 6, 0)",1
"(5, 6, 12, 6, 0)",1
"(5, 8, 2, 2, 0)",1
"(5, 8, 2, 8, 0)",1
"(5, 8, 2, 13, 0)",1
"(5, 8, 5, 5, 0)",1
"(5, 8, 5, 8, 0)",2
"(5, 8, 5, 10, 0)",1
"(5, 8, 5, 13, 0)",1
"(5, 8, 6, 6, 0)",1
"(5, 8, 7, 13, 0)",1
"(5, 8, 8, 5, 0)",2
"(5, 8, 8, 6, 0)",1
"(5, 8, 8, 8, 0)",3
"(5, 8, 8, 11, 0)",1
"(5, 8, 8, 12, 0)",2
"(5, 8, 8, 15, 0)",1
"(5, 8, 10, 14, 0)",1
"(5, 8, 11, 11, 0)",1
"(5, 8, 12, 2, 0)",2
"(5, 8, 12, 8, 0)",2
"(5, 8, 12, 12, 0)",2
"(5, 8, 13, 2, 0)",2
"(5, 8, 13, 7, 0)",1
"(5, 8, 13, 13, 0)",3
"(5, 8, 14, 11, 0)",1
"(5, 8, 14, 14, 0)",1
"(5, 9, 2, 2, 0)",1
"(5, 9, 5, 9, 0)",3
"(5, 9, 9, 2, 0)",2
"(5, 9, 9, 5, 0)",3
"(5, 9, 9, 9, 0)",1
"(5, 9, 9, 10, 0)",1
"(5, 9, 9, 13, 0)",2
"(5, 9, 10, 1, 0)",1
"(5, 9, 10, 13, 0)",1
"(5, 9, 10, 14, 0)",1
"(5, 9, 13, 4, 0)",1
"(5, 9, 13, 6, 0)",1
"(5, 9, 13, 13, 0)",2
"(5, 10, 7, 13, 0)",1
"(5, 10, 9, 10, 0)",1
"(5, 10, 9, 14, 0)",1
"(5, 10, 10, 11, 0)",1
"(5, 10, 10, 14, 0)",1
"(5, 10, 11, 10, 0)",1
"(5, 10, 11, 11, 0)",1
"(5, 10, 13, 1, 0)",1
"(5, 10, 14, 10, 0)",1
"(5, 11, 10, 14, 0)",1
"(5, 11, 13, 14, 0)",1
"(5, 11, 14, 14, 0)",1
"(5, 12, 2, 13, 0)",1
"(5, 12, 2, 14, 0)",1
"(5, 12, 6, 13, 0)",1
"(5, 12, 8, 8, 0)",2
"(5, 12, 8, 12, 0)",2
"(5, 12, 11, 11, 0)",1
"(5, 12, 11, 14, 0)",2
"(5, 12, 12, 2, 0)",1
"(5, 12, 12, 6, 0)",1
"(5, 12, 12, 8, 0)",1
"(5, 12, 12, 11, 0)",1
"(5, 12, 12, 12, 0)",3
"(5, 12, 12, 13, 0)",2
"(5, 12, 12, 15, 0)",1
"(5, 12, 13, 6, 0)",1
"(5, 12, 13, 12, 0)",1
"(5, 12, 14, 14, 0)",1
"(5, 13, 13, 13, 0)",1
"(5, 14, 10, 14, 0)",1
"(5, 14, 14, 14, 0)",1
"(5, 15, 13, 13, 0)",1
"(6, 4, 14, 11, 0)",1
"(6, 6, 11, 14, 0)",1
"(6, 6, 14, 4, 0)",1
"(6, 6, 14, 14, 0)",1
"(6, 6, 15, 6, 0)",1
"(6, 6, 15, 15, 0)",1
"(6, 9, 6, 6, 0)",1
"(6, 11, 11, 11, 0)",1
"(6, 12, 6, 6, 0)",1
"(6, 12, 11, 11, 0)",1
"(6, 14, 11, 11, 0)",2
"(6, 14, 11, 14, 0)",1
"(6, 14, 14, 9, 0)",1
"(6, 14, 14, 11, 0)",1
"(6, 14, 14, 14, 0)",2
"(6, 14, 15, 11, 0)",1
"(6, 15, 11, 11, 0)",1
"(7, 1, 1, 1, 0)",1
"(7, 1, 1, 11, 0)",1
"(7, 1, 1, 14, 0)",1
"(7, 1, 12, 1, 0)",1
"(7, 2, 7, 14, 0)",1
"(7, 2, 11, 11, 0)",1
"(7, 2, 11, 14, 0)",1
"(7, 7, 2, 11, 0)",1
"(7, 7, 11, 11, 0)",1
"(7, 7, 14, 11, 0)",1
"(7, 11, 11, 11, 0)",2
"(7, 12, 1, 14, 0)",1
"(7, 12, 7, 2, 0)",1
"(7, 12, 7, 14, 0)",1
"(7, 12, 11, 14, 0)",1
"(8, 1, 10, 1, 0)",1
"(8, 1, 10, 14, 0)",1
"(8, 1, 11, 11, 0)",1
"(8, 1, 14, 11, 0)",1
"(8, 1, 14, 14, 0)",1
"(8, 2, 1, 10, 0)",1
"(8, 2, 2, 1, 0)",2
"(8, 2, 2, 2, 0)",5
"(8, 2, 2, 4, 0)",4
"(8, 2, 2, 7, 0)",2
"(8, 2, 2, 8, 0)",1
"(8, 2, 2, 10, 0)",3
"(8, 2, 2, 12, 0)",1
"(8, 2, 2, 13, 0)",3
"(8, 2, 4, 2, 0)",2
"(8, 2, 4, 10, 0)",1
"(8, 2, 5, 5, 0)",2
"(8, 2, 7, 2, 0)",4
"(8, 2, 7, 9, 0)",1
"(8, 2, 8, 2, 0)",3
"(8, 2, 8, 4, 0)",1
"(8, 2, 10, 6, 0)",1
"(8, 2, 10, 10, 0)",1
"(8, 2, 12, 12, 0)",1
"(8, 2, 13, 6, 0)",1
"(8, 2, 13, 11, 0)",1
"(8, 2, 13, 13, 0)",1
"(8, 3, 2, 2, 0)",1
"(8, 3, 2, 3, 0)",1
"(8, 3, 2, 5, 0)",2
"(8, 3, 2, 8, 0)",1
"(8, 3, 2, 10, 0)",1
"(8, 3, 2, 14, 0)",1
"(8, 3, 3, 12, 0)",1
"(8, 3, 3, 15, 0)",1
"(8, 3, 8, 2, 0)",1
"(8, 3, 8, 5, 0)",1
"(8, 3, 8, 15, 0)",1
"(8, 3, 11, 14, 0)",1
"(8, 3, 13, 7, 0)",1
"(8, 4, 1, 10, 0)",1
"(8, 4, 2, 8, 0)",1
"(8, 4, 4, 8, 0)",1
"(8, 4, 6, 6, 0)",2
"(8, 4, 8, 4, 0)",2
"(8, 4, 8, 6, 0)",1
"(8, 4, 13, 6, 0)",1
"(8, 4, 13, 8, 0)",1
"(8, 4, 13, 10, 0)",1
"(8, 4, 13, 13, 0)",1
"(8, 4, 14, 11, 0)",1
"(8, 5, 8, 2, 0)",1
"(8, 5, 8, 5, 0)",2
"(8, 5, 8, 8, 0)",2
"(8, 6, 4, 6, 0)",1
"(8, 6, 4, 9, 0)",1
"(8, 6, 6, 6, 0)",1
"(8, 6, 6, 12, 0)",1
"(8, 6, 6, 13, 0)",1
"(8, 6, 8, 6, 0)",1
"(8, 6, 11, 14, 0)",1
"(8, 6, 14, 11, 0)",1
"(8, 6, 14, 14, 0)",2
"(8, 7, 2, 2, 0)",1
"(8, 7, 2, 7, 0)",3
"(8, 7, 2, 8, 0)",2
"(8, 7, 2, 12, 0)",1
"(8, 7, 7, 8, 0)",2
"(8, 7, 8, 2, 0)",1
"(8, 7, 8, 7, 0)",2
"(8, 7, 8, 8, 0)",1
"(8, 7, 10, 11, 0)",1
"(8, 7, 11, 11, 0)",1
"(8, 7, 11, 14, 0)",1
"(8, 7, 12, 2, 0)",1
"(8, 7, 13, 6, 0)",1
"(8, 7, 13, 7, 0)",1
"(8, 7, 13, 12, 0)",1
"(8, 8, 1, 13, 0)",1
"(8, 8, 2, 1, 0)",1
"(8, 8, 2, 4, 0)",1
"(8, 8, 2, 8, 0)",3
"(8, 8, 3, 2, 0)",1
"(8, 8, 3, 5, 0)",1
"(8, 8, 3, 8, 0)",2
"(8, 8, 4, 8, 0)",3
"(8, 8, 5, 2, 0)",1
"(8, 8, 5, 5, 0)",2
"(8, 8, 5, 8, 0)",1
"(8, 8, 6, 4, 0)",1
"(8, 8, 6, 6, 0)",2
"(8, 8, 6, 8, 0)",3
"(8, 8, 6, 13, 0)",2
"(8, 8, 7, 2, 0)",1
"(8, 8, 7, 6, 0)",1
"(8, 8, 7, 8, 0)",1
"(8, 8, 7, 12, 0)",1
"(8, 8, 7, 13, 0)",1
"(8, 8, 8, 2, 0)",4
"(8, 8, 8, 4, 0)",1
"(8, 8, 8, 6, 0)",2
"(8, 8, 8, 7, 0)",2
"(8, 8, 8, 8, 0)",4
"(8, 8, 12, 2, 0)",1
"(8, 8, 13, 6, 0)",1
"(8, 8, 13, 7, 0)",1
"(8, 8, 13, 12, 0)",1
"(8, 8, 13, 13, 0)",2
"(8, 10, 10, 1, 0)",1
"(8, 10, 10, 10, 0)",1
"(8, 10, 10, 13, 0)",1
"(8, 10, 10, 14, 0)",1
"(8, 10, 11, 11, 0)",1
"(8, 10, 11, 14, 0)",1
"(8, 10, 14, 10, 0)",1
"(8, 10, 14, 14, 0)",1
"(8, 11, 11, 11, 0)",2
"(8, 11, 11, 14, 0)",1
"(8, 12, 2, 2, 0)",1
"(8, 12, 2, 5, 0)",1
"(8, 12, 2, 8, 0)",2
"(8, 12, 2, 12, 0)",1
"(8, 12, 4, 8, 0)",1
"(8, 12, 5, 5, 0)",1
"(8, 12, 7, 6, 0)",2
"(8, 12, 7, 8, 0)",1
"(8, 12, 7, 12, 0)",1
