fixed attribute values,symbols
"(2, 0, 3, 0)","[{8, 7}]"
"(2, 0, 3, 3)","[{8, 7}]"
"(2, 0, 3, '_')","[{8, 7}]"
"(2, 1, 1, 0)","[{9, 4}]"
"(2, 1, 3, '_')","[{4, 7}, {4, 7}]"
"(2, 2, 1, 3)","[{9, 15}, {9, 15}]"
"(2, 2, 1, '_')","[{9, 15}]"
"(2, 2, 2, 0)","[{10, 15}, {10, 15}]"
"(2, 2, 3, 2)","[{15, 7}, {15, 7}, {7, 15}]"
"(2, 3, 1, 1)","[{9, 14}]"
"(2, 3, 3, 1)","[{14, 7}]"
"(2, '_', 0, '_')","[{11, 6}]"
"(2, '_', '_', '_')","[{12, 13}]"
"(3, 0, 2, 3)","[{8, 10, 13}]"
"(3, 0, 3, 0)","[{8, 7}]"
"(3, 1, 1, '_')","[{9, 4}, {9, 4}]"
"(3, 1, 2, '_')","[{10, 4}]"
"(3, 1, '_', 1)","[{12, 4}]"
"(3, 2, 1, '_')","[{9, 15}]"
"(3, 3, 1, 1)","[{9, 14}]"
"(3, 3, 1, 3)","[{9, 14}]"
"(3, '_', 0, 1)","[{10, 3, 12}]"
"(3, '_', 0, 2)","[{3, 6}, {3, 6}]"
"(3, '_', 0, 3)","[{6, 14}]"
"(3, '_', 3, 0)","[{2, 7}]"
"(3, '_', '_', 3)","[{11, 13}, {11, 13}]"
"(3, '_', '_', '_')",[{13}]
"('_', 0, 0, 0)","[{8, 6}, {8, 6}]"
"('_', 0, 0, 1)","[{8, 6}]"
"('_', 0, 0, 2)","[{8, 6}]"
"('_', 0, 0, '_')","[{8, 6}, {8, 6}, {8, 6}, {8, 6}]"
"('_', 0, 1, 3)","[{8, 9}]"
"('_', 0, 2, 0)","[{8, 10}]"
"('_', 0, 2, 1)","[{8, 10}, {8, 10}, {10, 5}]"
"('_', 0, 2, 2)","[{8, 10}]"
"('_', 0, 2, 3)","[{8, 10}, {8, 10}, {8, 10}]"
"('_', 0, 2, '_')","[{8, 10}]"
"('_', 0, 3, 2)","[{5, 7}, {8, 5, 7}]"
"('_', 0, 3, '_')","[{8, 7}, {8, 7}, {8, 7}, {8, 7}, {8, 7}]"
"('_', 0, '_', '_')",[{8}]
"('_', 1, 1, 1)","[{9, 4}]"
"('_', 1, 1, '_')","[{9, 4}]"
"('_', 1, 2, 0)","[{10, 4}, {10, 4}]"
"('_', 1, 3, 1)","[{4, 7}, {4, 7}]"
"('_', 1, 3, 3)","[{4, 7}, {4, 7}]"
"('_', 1, 3, '_')","[{4, 7}, {4, 7}, {4, 7}]"
"('_', 1, '_', '_')",[{4}]
"('_', 2, 0, 1)","[{6, 15}]"
"('_', 2, 0, '_')","[{6, 15}, {6, 15}]"
"('_', 2, 1, 0)","[{9, 15}]"
"('_', 2, 2, 0)","[{10, 15}, {10, 15}]"
"('_', 2, 2, 1)","[{10, 12, 15}, {10, 15}]"
"('_', 2, 2, '_')","[{10, 15}, {10, 15}]"
"('_', 2, 3, 0)","[{7, 15}]"
"('_', 2, 3, 1)","[{7, 15}]"
"('_', 2, 3, 2)","[{7, 15}, {7, 15}, {7, 15}]"
"('_', 2, 3, '_')","[{15, 7}, {7, 15}]"
"('_', 2, '_', '_')",[{15}]
"('_', 3, 1, 1)","[{9, 14}, {9, 14}, {9, 14}]"
"('_', 3, 1, '_')","[{9, 14}]"
"('_', 3, 2, '_')","[{10, 14}, {10, 14}, {10, 14}]"
"('_', 3, 3, 1)","[{14, 7}]"
"('_', 3, '_', 2)","[{3, 14}]"
"('_', 3, '_', '_')",[{14}]
"('_', '_', 0, 0)","[{2, 6}, {2, 6}]"
"('_', '_', 0, 1)","[{10, 12, 6}, {0, 10, 12}]"
"('_', '_', 0, 3)","[{11, 6}]"
"('_', '_', 0, '_')",[{6}]
"('_', '_', 1, 3)","[{9, 11}]"
"('_', '_', 1, '_')",[{9}]
"('_', '_', 2, '_')",[{10}]
"('_', '_', 3, 1)","[{12, 7}]"
"('_', '_', 3, '_')",[{7}]
"('_', '_', '_', 0)",[{2}]
"('_', '_', '_', 1)","[{10, 12}]"
"('_', '_', '_', 2)",[{3}]
"('_', '_', '_', 3)",[{11}]
