message,symbols,fixed attribute values
"(11, 2, 16, 16, 0)","{16, 2, 11}","(3, 7, 6, 6)"
"(11, 2, 20, 11, 0)","{2, 11, 20}","(0, 7, 6, 6)"
"(11, 2, 20, 20, 0)","{2, 11, 20}","('_', 7, 6, '_')"
"(11, 2, 22, 3, 0)","{3, 2, 11, 22}","(7, 1, 6, 5)"
"(11, 2, 22, 20, 0)","{2, 11, 20, 22}","(0, 7, 6, 1)"
"(11, 5, 5, 5, 0)","{11, 5}","('_', '_', 6, 3)"
"(11, 5, 5, 11, 0)","{11, 5}","('_', '_', 6, 3)"
"(11, 5, 11, 5, 0)","{11, 5}","(7, '_', 6, 3)"
"(11, 5, 11, 11, 0)","{11, 5}","('_', 4, 6, 3)"
"(11, 11, 4, 21, 0)","{11, 4, 21}","(6, 3, 6, 7)"
"(11, 11, 5, 5, 0)","{11, 5}","('_', 3, 6, 3)"
"(11, 11, 5, 11, 0)","{11, 5}","('_', '_', 6, 3)"
"(11, 11, 9, 9, 0)","{9, 11}","(0, 7, 6, 6)"
"(11, 11, 9, 11, 0)","{9, 11}","(4, 7, 6, 1)"
"(11, 11, 9, 20, 0)","{9, 11, 20}","(6, 7, 6, 1)"
"(11, 11, 11, 4, 0)","{11, 4}","(2, 1, 6, 7)"
"(11, 11, 11, 5, 0)","{11, 5}","('_', 3, 6, 3)"
"(11, 11, 11, 9, 0)","{9, 11}","(4, 7, 6, 1)"
"(11, 11, 11, 11, 0)",{11},"('_', '_', 6, '_')"
"(11, 11, 11, 14, 0)","{11, 14}","(3, 6, 6, 6)"
"(11, 11, 11, 15, 0)","{11, 15}","('_', 5, 6, 6)"
"(11, 11, 11, 16, 0)","{16, 11}","(6, 5, 6, 6)"
"(11, 11, 11, 20, 0)","{11, 20}","(7, 7, 6, 5)"
"(11, 11, 11, 24, 0)","{24, 11}","('_', 2, 6, 2)"
"(11, 11, 13, 11, 0)","{11, 13}","(1, 6, 6, 7)"
"(11, 11, 14, 3, 0)","{3, 11, 14}","(4, 1, 6, 6)"
"(11, 11, 14, 14, 0)","{11, 14}","(7, 5, 6, 6)"
"(11, 11, 16, 11, 0)","{16, 11}","('_', 6, 6, 6)"
"(11, 11, 16, 16, 0)","{16, 11}","('_', 5, 6, 6)"
"(11, 11, 20, 11, 0)","{11, 20}","(3, 7, 6, 6)"
"(11, 11, 20, 20, 0)","{11, 20}","('_', 7, 6, '_')"
"(11, 11, 24, 11, 0)","{24, 11}","(0, '_', 6, 2)"
"(11, 11, 24, 24, 0)","{24, 11}","('_', '_', 6, 2)"
"(11, 11, 25, 14, 0)","{25, 11, 14}","(6, 6, 6, 6)"
"(11, 13, 11, 11, 0)","{11, 13}","(1, 6, 6, 7)"
"(11, 13, 13, 13, 0)","{11, 13}","(1, 6, 6, 1)"
"(11, 13, 13, 22, 0)","{11, 13, 22}","(1, 6, 3, 1)"
"(11, 14, 11, 11, 0)","{11, 14}","(3, 6, 6, '_')"
"(11, 14, 11, 14, 0)","{11, 14}","(6, 6, 6, 6)"
"(11, 14, 14, 14, 0)","{11, 14}","(6, 6, 6, 6)"
"(11, 14, 14, 16, 0)","{16, 11, 14}","('_', 6, 6, 6)"
"(11, 14, 16, 16, 0)","{16, 11, 14}","('_', 6, 6, 6)"
"(11, 16, 16, 16, 0)","{16, 11}","(2, 5, 6, 6)"
"(11, 20, 11, 9, 0)","{9, 11, 20}","(0, 2, 6, 4)"
"(11, 20, 11, 11, 0)","{11, 20}","('_', 1, 6, 4)"
"(11, 20, 20, 20, 0)","{11, 20}","('_', 5, 6, 4)"
"(11, 21, 21, 21, 0)","{11, 21}","('_', 3, 6, 7)"
"(11, 24, 11, 11, 0)","{24, 11}","(4, '_', 6, 2)"
"(11, 24, 24, 11, 0)","{24, 11}","(4, '_', 6, 2)"
"(11, 24, 24, 24, 0)","{24, 11}","('_', '_', 6, 2)"
"(11, 25, 14, 20, 0)","{25, 11, 20, 14}","(4, 2, 6, 4)"
"(13, 11, 13, 13, 0)","{11, 13}","(1, 1, 6, 2)"
"(13, 13, 10, 13, 0)","{10, 13}","(1, 7, 7, 1)"
"(13, 13, 11, 13, 0)","{11, 13}","(1, 1, 6, 2)"
"(13, 13, 13, 13, 0)",{13},"('_', '_', '_', '_')"
"(13, 13, 13, 26, 0)","{26, 13}","(1, 0, 0, 3)"
"(13, 13, 22, 13, 0)","{13, 22}","(1, 6, '_', 2)"
"(13, 13, 26, 26, 0)","{26, 13}","(1, 0, 0, 3)"
"(13, 22, 13, 13, 0)","{13, 22}","(1, 6, 5, 7)"
"(13, 26, 26, 13, 0)","{26, 13}","(1, 2, 0, 1)"
"(13, 26, 26, 26, 0)","{26, 13}","(1, 2, 0, 2)"
"(15, 2, 14, 14, 0)","{2, 14, 15}","(7, 1, 3, 6)"
"(15, 2, 20, 20, 0)","{2, 20, 15}","(6, 7, 3, 6)"
"(15, 2, 25, 14, 0)","{25, 2, 14, 15}","(3, 1, 6, 1)"
"(15, 5, 5, 5, 0)","{5, 15}","('_', '_', 3, 3)"
"(15, 5, 5, 15, 0)","{5, 15}","(2, 0, 3, 3)"
"(15, 14, 14, 14, 0)","{14, 15}","('_', 6, 3, 6)"
"(15, 14, 14, 15, 0)","{14, 15}","(4, 3, 3, 6)"
"(15, 14, 15, 14, 0)","{14, 15}","('_', '_', 3, 6)"
"(15, 14, 15, 15, 0)","{14, 15}","(3, 6, 3, 6)"
"(15, 14, 16, 14, 0)","{16, 14, 15}","(5, 6, 3, 6)"
"(15, 15, 5, 5, 0)","{5, 15}","(3, '_', 3, 3)"
"(15, 15, 5, 15, 0)","{5, 15}","(4, 0, 3, 3)"
"(15, 15, 14, 14, 0)","{14, 15}","('_', '_', 3, 6)"
"(15, 15, 14, 15, 0)","{14, 15}","('_', '_', 3, 6)"
"(15, 15, 15, 5, 0)","{5, 15}","(5, 0, 3, 3)"
"(15, 15, 15, 14, 0)","{14, 15}","(2, '_', 3, 6)"
"(15, 15, 15, 15, 0)",{15},"('_', '_', '_', '_')"
"(15, 15, 15, 20, 0)","{20, 15}","('_', 7, 3, '_')"
"(15, 15, 20, 15, 0)","{20, 15}","(6, 7, 3, 6)"
"(15, 15, 20, 20, 0)","{20, 15}","('_', 7, 3, '_')"
"(15, 15, 24, 15, 0)","{24, 15}","(2, 5, 3, 2)"
"(15, 15, 24, 24, 0)","{24, 15}","(2, '_', 3, 2)"
"(15, 20, 15, 20, 0)","{20, 15}","(0, 7, 3, 1)"
"(15, 20, 20, 20, 0)","{20, 15}","('_', 7, 3, '_')"
"(15, 24, 15, 15, 0)","{24, 15}","(5, 5, 3, 2)"
"(15, 24, 24, 24, 0)","{24, 15}","('_', '_', 3, 2)"
"(16, 2, 3, 3, 0)","{16, 2, 3}","('_', '_', 1, '_')"
"(16, 2, 3, 16, 0)","{16, 2, 3}","('_', 4, 1, 7)"
"(16, 2, 3, 20, 0)","{16, 2, 3, 20}","(3, 7, 1, 7)"
"(16, 2, 3, 24, 0)","{16, 24, 2, 3}","(4, 4, 1, 2)"
"(16, 2, 7, 3, 0)","{16, 2, 3, 7}","(7, '_', 1, '_')"
"(16, 2, 7, 7, 0)","{16, 2, 7}","(6, '_', 1, 7)"
"(16, 2, 16, 3, 0)","{16, 2, 3}","('_', '_', 1, 6)"
"(16, 2, 16, 16, 0)","{16, 2}","('_', '_', 1, 6)"
"(16, 2, 16, 20, 0)","{16, 2, 20}","('_', 7, 1, 6)"
"(16, 2, 16, 24, 0)","{16, 24, 2}","(7, 4, 1, 2)"
"(16, 2, 20, 3, 0)","{16, 2, 3, 20}","(7, 7, 1, 6)"
"(16, 2, 20, 20, 0)","{16, 2, 20}","(0, 7, '_', 1)"
"(16, 2, 22, 3, 0)","{16, 2, 3, 22}","(6, 7, 1, 7)"
"(16, 2, 22, 16, 0)","{16, 2, 22}","(5, 7, 1, 7)"
"(16, 2, 24, 24, 0)","{16, 24, 2}","('_', 1, 1, 2)"
"(16, 3, 3, 3, 0)","{16, 3}","(7, '_', 1, '_')"
"(16, 3, 3, 16, 0)","{16, 3}","('_', '_', 1, 1)"
"(16, 3, 16, 3, 0)","{16, 3}","(4, 4, 1, 1)"
"(16, 3, 16, 16, 0)","{16, 3}","(2, 5, 1, 1)"
"(16, 5, 3, 3, 0)","{16, 3, 5}","(7, 1, 1, 3)"
"(16, 5, 5, 3, 0)","{16, 3, 5}","(7, 4, 1, 3)"
"(16, 5, 5, 5, 0)","{16, 5}","('_', '_', '_', 3)"
"(16, 5, 5, 16, 0)","{16, 5}","(5, 6, 1, 3)"
"(16, 5, 5, 23, 0)","{16, 5, 23}","('_', '_', 1, 3)"
"(16, 5, 16, 5, 0)","{16, 5}","('_', 2, 1, 3)"
"(16, 5, 16, 16, 0)","{16, 5}","('_', 1, 1, 3)"
"(16, 5, 16, 23, 0)","{16, 5, 23}","(3, 2, 1, 3)"
"(16, 5, 23, 5, 0)","{16, 5, 23}","(2, 5, 1, 3)"
"(16, 5, 23, 23, 0)","{16, 5, 23}","(6, '_', 1, 3)"
"(16, 5, 25, 23, 0)","{16, 25, 5, 23}","(2, 6, 2, 3)"
"(16, 7, 3, 3, 0)","{16, 3, 7}","('_', 4, 1, '_')"
"(16, 7, 3, 16, 0)","{16, 3, 7}","(4, 4, 1, 1)"
"(16, 7, 7, 7, 0)","{16, 7}","(6, 4, 1, 7)"
"(16, 7, 16, 3, 0)","{16, 3, 7}","('_', 4, 1, 5)"
"(16, 7, 16, 16, 0)","{16, 7}","(4, 4, 1, 5)"
"(16, 8, 8, 8, 0)","{16, 8}","(0, 4, 4, 3)"
"(16, 9, 5, 5, 0)","{16, 9, 5}","('_', 0, 1, 3)"
"(16, 10, 3, 20, 0)","{16, 10, 3, 20}","(3, 7, 1, 1)"
"(16, 10, 10, 10, 0)","{16, 10}","(7, '_', 7, '_')"
"(16, 13, 13, 13, 0)","{16, 13}","(1, 6, 1, 2)"
"(16, 13, 16, 13, 0)","{16, 13}","(1, 6, 1, 2)"
"(16, 16, 2, 3, 0)","{16, 2, 3}","(4, 7, 1, 7)"
"(16, 16, 2, 16, 0)","{16, 2}","('_', 7, 1, 6)"
"(16, 16, 3, 3, 0)","{16, 3}","('_', '_', 1, '_')"
"(16, 16, 3, 5, 0)","{16, 3, 5}","(7, 4, 1, 3)"
"(16, 16, 3, 16, 0)","{16, 3}","('_', '_', 1, '_')"
"(16, 16, 5, 5, 0)","{16, 5}","('_', '_', 1, 3)"
"(16, 16, 5, 16, 0)","{16, 5}","('_', '_', 1, 3)"
"(16, 16, 5, 20, 0)","{16, 20, 5}","(0, 0, 1, 3)"
"(16, 16, 5, 23, 0)","{16, 5, 23}","('_', 7, 1, 3)"
"(16, 16, 7, 7, 0)","{16, 7}","(6, '_', 1, 7)"
"(16, 16, 7, 16, 0)","{16, 7}","(6, '_', 1, 7)"
"(16, 16, 13, 16, 0)","{16, 13}","('_', 7, 1, 3)"
"(16, 16, 16, 3, 0)","{16, 3}","('_', '_', 1, '_')"
"(16, 16, 16, 5, 0)","{16, 5}","('_', '_', 1, 3)"
"(16, 16, 16, 7, 0)","{16, 7}","(6, 4, 1, 5)"
"(16, 16, 16, 13, 0)","{16, 13}","('_', 2, 1, '_')"
"(16, 16, 16, 16, 0)",{16},"('_', '_', '_', '_')"
"(16, 16, 16, 19, 0)","{16, 19}","(0, '_', 1, '_')"
"(16, 16, 16, 20, 0)","{16, 20}","(5, 0, 1, 4)"
"(16, 16, 16, 21, 0)","{16, 21}","(5, 0, 1, 0)"
"(16, 16, 16, 23, 0)","{16, 23}","(0, 2, 1, '_')"
"(16, 16, 16, 24, 0)","{16, 24}","('_', 5, 1, '_')"
"(16, 16, 19, 16, 0)","{16, 19}","(3, 2, 1, 7)"
"(16, 16, 20, 16, 0)","{16, 20}","(0, 0, 1, 3)"
"(16, 16, 20, 20, 0)","{16, 20}","(3, 7, 1, 1)"
"(16, 16, 20, 23, 0)","{16, 20, 23}","(0, 0, 1, 3)"
"(16, 16, 22, 16, 0)","{16, 22}","('_', '_', 1, 7)"
"(16, 16, 23, 16, 0)","{16, 23}","(7, 5, 1, 7)"
"(16, 16, 23, 23, 0)","{16, 23}","(0, 2, 1, 3)"
"(16, 16, 24, 23, 0)","{16, 24, 23}","('_', 5, 1, 6)"
"(16, 16, 24, 24, 0)","{16, 24}","('_', '_', 1, '_')"
"(16, 19, 16, 16, 0)","{16, 19}","(3, 2, 1, 1)"
"(16, 19, 19, 16, 0)","{16, 19}","(7, 2, 1, 1)"
"(16, 20, 16, 20, 0)","{16, 20}","(5, 0, 1, 4)"
"(16, 20, 20, 20, 0)","{16, 20}","('_', 0, 1, 4)"
"(16, 21, 16, 16, 0)","{16, 21}","(5, 0, 1, 0)"
"(16, 21, 16, 21, 0)","{16, 21}","(0, '_', 1, 0)"
"(16, 21, 21, 16, 0)","{16, 21}","(5, 6, 1, 0)"
"(16, 21, 21, 21, 0)","{16, 21}","(3, '_', 1, 0)"
"(16, 22, 16, 16, 0)","{16, 22}","('_', '_', 1, 5)"
"(16, 22, 16, 22, 0)","{16, 22}","(3, '_', 1, 5)"
"(16, 23, 16, 16, 0)","{16, 23}","(0, 0, 1, 7)"
"(16, 23, 23, 23, 0)","{16, 23}","(0, 0, 1, 7)"
"(16, 24, 24, 24, 0)","{16, 24}","('_', '_', 1, '_')"
"(17, 17, 21, 22, 0)","{17, 21, 22}","('_', 0, 5, 0)"
"(18, 5, 5, 5, 0)","{18, 5}","(5, 1, 5, 3)"
"(18, 5, 5, 18, 0)","{18, 5}","(4, 1, 5, 3)"
"(18, 7, 3, 3, 0)","{18, 3, 7}","('_', 4, 5, 5)"
"(18, 7, 18, 18, 0)","{18, 7}","(7, 4, 5, 5)"
"(18, 14, 16, 14, 0)","{16, 18, 14}","(2, 6, 5, 6)"
"(18, 14, 16, 16, 0)","{16, 18, 14}","('_', 0, 5, 6)"
"(18, 16, 16, 16, 0)","{16, 18}","(0, 6, 5, 6)"
"(18, 18, 3, 18, 0)","{18, 3}","(4, 2, 5, 1)"
"(18, 18, 14, 16, 0)","{16, 18, 14}","('_', 6, 5, 6)"
"(18, 18, 14, 18, 0)","{18, 14}","(2, 6, 5, 6)"
"(18, 18, 16, 16, 0)","{16, 18}","(5, 0, 5, 6)"
"(18, 18, 18, 3, 0)","{18, 3}","(0, 4, 5, 1)"
"(18, 18, 18, 7, 0)","{18, 7}","('_', 1, 5, 5)"
"(18, 18, 18, 14, 0)","{18, 14}","(6, 6, 5, 6)"
"(18, 18, 18, 16, 0)","{16, 18}","(3, 0, 5, 6)"
"(18, 18, 18, 18, 0)",{18},"('_', '_', 5, '_')"
"(18, 18, 18, 20, 0)","{18, 20}","(3, 7, 5, 7)"
"(18, 18, 24, 24, 0)","{24, 18}","(6, 3, 5, 2)"
"(18, 19, 18, 18, 0)","{18, 19}","(2, 2, 5, 5)"
"(18, 19, 19, 19, 0)","{18, 19}","('_', 2, 5, 5)"
"(18, 21, 18, 18, 0)","{18, 21}","('_', 3, 5, 1)"
"(18, 21, 18, 21, 0)","{18, 21}","('_', 7, 5, 0)"
"(18, 21, 21, 21, 0)","{18, 21}","(5, 6, 5, 0)"
"(18, 24, 18, 18, 0)","{24, 18}","(5, 3, 5, 2)"
"(18, 24, 24, 24, 0)","{24, 18}","('_', 3, 5, 2)"
"(19, 5, 5, 5, 0)","{19, 5}","('_', 2, '_', 3)"
"(19, 8, 8, 8, 0)","{8, 19}","(0, 2, 4, 1)"
"(19, 10, 10, 10, 0)","{10, 19}","('_', 2, 7, '_')"
"(19, 15, 15, 15, 0)","{19, 15}","('_', 2, 3, '_')"
"(19, 18, 18, 18, 0)","{18, 19}","('_', 2, 5, '_')"
"(19, 19, 3, 3, 0)","{3, 19}","(4, 2, 5, 1)"
"(19, 19, 3, 19, 0)","{3, 19}","(4, 2, 5, 1)"
"(19, 19, 10, 19, 0)","{10, 19}","(0, 2, '_', 1)"
"(19, 19, 18, 18, 0)","{18, 19}","('_', 2, 5, 7)"
"(19, 19, 19, 3, 0)","{3, 19}","('_', 2, 5, 1)"
"(19, 19, 19, 7, 0)","{19, 7}","(2, 2, '_', 7)"
"(19, 19, 19, 18, 0)","{18, 19}","(3, 2, 5, 7)"
"(19, 19, 19, 19, 0)",{19},"('_', 2, '_', '_')"
"(19, 19, 19, 23, 0)","{19, 23}","(4, 2, '_', '_')"
"(19, 19, 19, 24, 0)","{24, 19}","('_', 2, 4, 2)"
"(19, 19, 23, 19, 0)","{19, 23}","(5, 2, 4, 2)"
"(19, 19, 23, 23, 0)","{19, 23}","(5, 2, '_', '_')"
"(19, 19, 24, 24, 0)","{24, 19}","(6, 2, 4, 2)"
"(19, 23, 23, 24, 0)","{24, 19, 23}","(4, 2, 4, 2)"
"(19, 23, 24, 24, 0)","{24, 19, 23}","('_', 2, 4, 2)"
"(19, 24, 24, 24, 0)","{24, 19}","(6, 2, 4, 2)"
"(19, 26, 26, 26, 0)","{26, 19}","(0, 2, 0, 1)"
"(20, 8, 8, 8, 0)","{8, 20}","(4, 0, 4, 4)"
"(20, 10, 10, 10, 0)","{10, 20}","(5, 4, 7, 4)"
"(20, 11, 9, 9, 0)","{9, 11, 20}","(4, 2, 6, 4)"
"(20, 11, 11, 11, 0)","{11, 20}","('_', 2, 6, 4)"
"(20, 15, 15, 15, 0)","{20, 15}","(3, 3, 3, 4)"
"(20, 20, 9, 9, 0)","{9, 20}","(4, 2, 6, 4)"
"(20, 20, 10, 10, 0)","{10, 20}","('_', 4, 7, 4)"
"(20, 20, 10, 20, 0)","{10, 20}","('_', 1, 7, 4)"
"(20, 20, 11, 11, 0)","{11, 20}","('_', 2, 6, 4)"
"(20, 20, 11, 20, 0)","{11, 20}","('_', 1, 6, 4)"
"(20, 20, 20, 8, 0)","{8, 20}","('_', 0, 4, 4)"
"(20, 20, 20, 9, 0)","{9, 20}","('_', 2, 6, 4)"
"(20, 20, 20, 11, 0)","{11, 20}","('_', 0, 6, 4)"
"(20, 20, 20, 15, 0)","{20, 15}","(6, 3, 3, 4)"
"(20, 20, 20, 20, 0)",{20},"('_', '_', '_', 4)"
"(20, 20, 20, 23, 0)","{20, 23}","('_', '_', 4, 4)"
"(20, 20, 23, 8, 0)","{8, 20, 23}","(0, 0, 4, 4)"
"(20, 20, 23, 20, 0)","{20, 23}","(0, 0, 4, 4)"
"(20, 20, 23, 23, 0)","{20, 23}","(0, 0, 4, 4)"
"(20, 23, 23, 23, 0)","{20, 23}","(0, 6, 4, 4)"
"(21, 6, 17, 21, 0)","{17, 21, 6}","(6, 7, 2, 0)"
"(21, 8, 8, 8, 0)","{8, 21}","('_', '_', 4, 0)"
"(21, 8, 8, 21, 0)","{8, 21}","(2, 1, 4, 0)"
"(21, 8, 21, 8, 0)","{8, 21}","(7, 2, 4, 0)"
"(21, 8, 21, 21, 0)","{8, 21}","('_', '_', 4, 0)"
"(21, 10, 10, 10, 0)","{10, 21}","('_', 0, 7, '_')"
"(21, 10, 10, 21, 0)","{10, 21}","(2, 1, 7, 0)"
"(21, 10, 21, 10, 0)","{10, 21}","(6, 7, 7, 0)"
"(21, 10, 21, 21, 0)","{10, 21}","(2, 1, 7, 0)"
"(21, 15, 15, 15, 0)","{21, 15}","(6, 2, 3, 0)"
"(21, 16, 16, 21, 0)","{16, 21}","(0, 0, 1, 0)"
"(21, 17, 5, 7, 0)","{17, 5, 21, 7}","('_', 0, 2, 0)"
"(21, 17, 17, 21, 0)","{17, 21}","(0, 0, 2, 0)"
"(21, 17, 21, 16, 0)","{16, 17, 21}","(4, 0, '_', 0)"
"(21, 17, 21, 17, 0)","{17, 21}","('_', 0, '_', 0)"
"(21, 17, 21, 21, 0)","{17, 21}","('_', 0, '_', 0)"
"(21, 17, 22, 17, 0)","{17, 21, 22}","(3, 0, 2, 0)"
"(21, 18, 18, 21, 0)","{18, 21}","(6, 1, 5, 0)"
"(21, 20, 20, 17, 0)","{17, 20, 21}","(5, 7, 2, 0)"
"(21, 21, 8, 8, 0)","{8, 21}","('_', '_', 4, 0)"
"(21, 21, 8, 21, 0)","{8, 21}","('_', 2, 4, 0)"
"(21, 21, 10, 10, 0)","{10, 21}","(7, 1, 7, 0)"
"(21, 21, 10, 21, 0)","{10, 21}","(5, 7, 7, 0)"
"(21, 21, 14, 14, 0)","{21, 14}","(5, 6, 5, 0)"
"(21, 21, 14, 17, 0)","{17, 21, 14}","(7, 6, 5, 0)"
"(21, 21, 14, 18, 0)","{18, 21, 14}","('_', 6, 5, 0)"
"(21, 21, 14, 21, 0)","{21, 14}","(7, 6, '_', 0)"
"(21, 21, 15, 15, 0)","{21, 15}","(6, 2, 3, 0)"
"(21, 21, 15, 21, 0)","{21, 15}","(6, 2, 3, 0)"
"(21, 21, 17, 21, 0)","{17, 21}","('_', 4, 2, 0)"
"(21, 21, 18, 21, 0)","{18, 21}","(6, 1, 5, 0)"
"(21, 21, 19, 19, 0)","{19, 21}","(5, 2, '_', 0)"
"(21, 21, 21, 8, 0)","{8, 21}","(5, 5, 4, 0)"
"(21, 21, 21, 10, 0)","{10, 21}","(4, 1, 7, 0)"
"(21, 21, 21, 14, 0)","{21, 14}","('_', 6, 3, 0)"
"(21, 21, 21, 17, 0)","{17, 21}","('_', 7, 2, 0)"
"(21, 21, 21, 21, 0)",{21},"('_', '_', '_', 0)"
"(21, 21, 21, 23, 0)","{21, 23}","(2, '_', 2, 0)"
"(21, 21, 22, 21, 0)","{21, 22}","(3, 7, 2, 0)"
"(21, 21, 23, 8, 0)","{8, 21, 23}","(2, 5, 4, 0)"
"(21, 21, 23, 21, 0)","{21, 23}","(3, '_', 4, 0)"
"(21, 21, 23, 23, 0)","{21, 23}","(6, 6, 2, 0)"
"(21, 21, 26, 21, 0)","{26, 21}","('_', 4, 0, 0)"
"(21, 22, 21, 21, 0)","{21, 22}","(5, 6, 2, 0)"
"(21, 22, 21, 23, 0)","{21, 22, 23}","(4, 6, 2, 0)"
"(21, 22, 23, 21, 0)","{21, 22, 23}","(4, 6, 2, 0)"
"(21, 22, 23, 23, 0)","{21, 22, 23}","(6, 6, 2, 0)"
"(21, 23, 21, 23, 0)","{21, 23}","(3, 2, 4, 0)"
"(21, 23, 23, 21, 0)","{21, 23}","(0, 0, 2, 0)"
"(21, 23, 23, 23, 0)","{21, 23}","(5, 6, 2, 0)"
"(21, 26, 21, 21, 0)","{26, 21}","(3, 7, 0, 0)"
"(21, 26, 26, 26, 0)","{26, 21}","(3, 1, 0, 0)"
"(22, 13, 11, 13, 0)","{11, 13, 22}","(1, 6, 3, 1)"
"(22, 13, 13, 13, 0)","{13, 22}","(1, '_', '_', '_')"
"(22, 22, 22, 22, 0)",{22},"(3, 3, 1, '_')"
"(23, 8, 8, 8, 0)","{8, 23}","('_', '_', 4, 4)"
"(23, 8, 23, 23, 0)","{8, 23}","(0, 0, 4, 3)"
"(23, 24, 24, 24, 0)","{24, 23}","(2, 5, 4, 2)"
"(24, 8, 24, 8, 0)","{24, 8}","(6, 5, 4, 2)"
"(24, 8, 24, 24, 0)","{24, 8}","(2, 5, 4, 2)"
"(24, 18, 18, 18, 0)","{24, 18}","(5, '_', 5, 2)"
"(24, 23, 24, 23, 0)","{24, 23}","(0, 0, '_', 2)"
"(24, 23, 24, 24, 0)","{24, 23}","(0, 0, '_', 2)"
"(24, 24, 18, 18, 0)","{24, 18}","(5, '_', 5, 2)"
"(24, 24, 24, 18, 0)","{24, 18}","(7, 1, 5, 2)"
"(24, 24, 24, 24, 0)",{24},"('_', '_', '_', 2)"
"(25, 5, 5, 5, 0)","{25, 5}","(5, 6, '_', 3)"
"(25, 7, 7, 3, 0)","{25, 3, 7}","(7, '_', '_', '_')"
"(25, 7, 19, 19, 0)","{25, 19, 7}","(6, '_', '_', 5)"
"(25, 10, 10, 10, 0)","{25, 10}","('_', 6, 7, '_')"
"(25, 10, 10, 16, 0)","{16, 25, 10}","(2, 6, 7, 1)"
"(25, 14, 3, 3, 0)","{25, 3, 14}","(4, '_', '_', '_')"
"(25, 14, 3, 14, 0)","{25, 3, 14}","('_', 6, '_', '_')"
"(25, 14, 5, 5, 0)","{25, 5, 14}","(7, 6, '_', 3)"
"(25, 14, 5, 16, 0)","{16, 25, 5, 14}","(2, 6, '_', 3)"
"(25, 14, 7, 15, 0)","{25, 15, 14, 7}","(6, 6, 3, 5)"
"(25, 14, 8, 8, 0)","{8, 25, 14}","('_', 6, 4, 0)"
"(25, 14, 10, 10, 0)","{25, 10, 14}","('_', 6, 7, '_')"
"(25, 14, 10, 14, 0)","{25, 10, 14}","(0, 6, 7, '_')"
"(25, 14, 10, 16, 0)","{16, 25, 10, 14}","(2, 6, 7, '_')"
"(25, 14, 11, 16, 0)","{16, 25, 11, 14}","(6, 6, 6, 1)"
"(25, 14, 14, 3, 0)","{25, 3, 14}","(6, 6, '_', '_')"
"(25, 14, 14, 5, 0)","{25, 5, 14}","(2, 6, '_', 3)"
"(25, 14, 14, 8, 0)","{8, 25, 14}","(7, 6, 4, 0)"
"(25, 14, 14, 14, 0)","{25, 14}","('_', 6, '_', '_')"
"(25, 14, 14, 15, 0)","{25, 14, 15}","('_', 6, 3, 2)"
"(25, 14, 14, 16, 0)","{16, 25, 14}","('_', 6, '_', '_')"
"(25, 14, 14, 18, 0)","{25, 18, 14}","(6, 6, 5, '_')"
"(25, 14, 14, 20, 0)","{25, 20, 14}","(3, 6, 6, 4)"
"(25, 14, 14, 21, 0)","{25, 21, 14}","(6, 6, 5, 0)"
"(25, 14, 14, 23, 0)","{25, 14, 23}","('_', 6, '_', 0)"
"(25, 14, 14, 24, 0)","{24, 25, 14}","('_', 6, '_', 2)"
"(25, 14, 14, 26, 0)","{25, 26, 14}","('_', 6, 0, 1)"
"(25, 14, 15, 14, 0)","{25, 14, 15}","(7, 6, 3, 7)"
"(25, 14, 15, 15, 0)","{25, 14, 15}","('_', 6, 3, 5)"
"(25, 14, 16, 3, 0)","{16, 25, 3, 14}","('_', 6, '_', 7)"
"(25, 14, 16, 14, 0)","{16, 25, 14}","(5, 6, '_', '_')"
"(25, 14, 16, 16, 0)","{16, 25, 14}","('_', 6, '_', '_')"
"(25, 14, 17, 8, 0)","{8, 25, 14, 17}","(3, 6, 4, 0)"
"(25, 14, 17, 14, 0)","{25, 14, 17}","(5, 6, 5, 0)"
"(25, 14, 18, 18, 0)","{25, 18, 14}","('_', 6, 5, '_')"
"(25, 14, 18, 23, 0)","{25, 18, 14, 23}","(6, 6, 5, 0)"
"(25, 14, 20, 20, 0)","{25, 20, 14}","('_', 6, 7, 4)"
"(25, 14, 21, 14, 0)","{25, 21, 14}","(2, 6, '_', 0)"
"(25, 14, 21, 23, 0)","{25, 21, 14, 23}","(0, 6, 3, 0)"
"(25, 14, 23, 8, 0)","{8, 25, 14, 23}","(7, 6, 4, 0)"
"(25, 14, 23, 23, 0)","{25, 14, 23}","('_', 6, 4, 3)"
"(25, 14, 23, 24, 0)","{24, 25, 14, 23}","(6, 6, 4, 2)"
"(25, 14, 24, 24, 0)","{24, 25, 14}","('_', 6, '_', 2)"
"(25, 14, 25, 10, 0)","{25, 10, 14}","(6, 6, 7, 2)"
"(25, 14, 25, 14, 0)","{25, 14}","(4, 6, '_', '_')"
"(25, 14, 25, 20, 0)","{25, 20, 14}","(4, 6, 6, 4)"
"(25, 14, 26, 14, 0)","{25, 26, 14}","('_', 6, 0, '_')"
"(25, 14, 26, 26, 0)","{25, 26, 14}","(7, 6, 0, '_')"
"(25, 16, 10, 10, 0)","{16, 25, 10}","(7, 6, 7, 1)"
"(25, 16, 10, 16, 0)","{16, 25, 10}","(2, 6, 7, '_')"
"(25, 16, 14, 16, 0)","{16, 25, 14}","('_', 6, 5, '_')"
