symbols,count,fixed attribute values
"(17, 4, 21)",6,"(None, 0, None, 0)"
"(17, 4, 21, 22)",1,"(5, 0, '?', 0)"
"(17, 4, 21, 23)",2,"(None, 0, 5, 0)"
"(17, 5, 21, 7)",1,"('?', 0, 2, 0)"
"(17, 20, 21)",1,"(5, 7, 2, 0)"
"(17, 21)",44,"(None, None, None, 0)"
"(17, 21, 6)",2,"(6, None, 2, 0)"
"(17, 21, 6, 23)",2,"(None, 0, 2, 0)"
"(17, 21, 14)",1,"(7, 6, 5, 0)"
"(17, 21, 22)",2,"(None, 0, None, 0)"
"(18,)",256,"(None, None, 5, None)"
"(18, 2, 19, 21)",1,"(3, 3, 5, 5)"
"(18, 3)",3,"(None, None, 5, 1)"
"(18, 3, 4)",3,"(None, '?', 5, 1)"
"(18, 3, 4, 7)",1,"(2, '?', 5, 1)"
"(18, 3, 4, 13)",1,"(7, '?', 5, 1)"
"(18, 3, 7)",3,"(None, None, 5, None)"
"(18, 4)",14,"(None, None, 5, None)"
"(18, 4, 13)",1,"(2, 0, 5, 7)"
"(18, 5)",10,"(None, None, 5, 3)"
"(18, 5, 7)",1,"(5, 5, 5, 1)"
"(18, 7)",4,"(None, None, 5, None)"
"(18, 14)",6,"(None, 6, 5, 6)"
"(18, 19)",16,"(None, 2, 5, None)"
"(18, 19, 4)",1,"(3, '?', 5, 5)"
"(18, 20)",1,"(3, 7, 5, 7)"
"(18, 21)",9,"(None, None, 5, None)"
"(18, 21, 14)",2,"(None, 6, 5, 0)"
"(19,)",57,"(None, 2, None, None)"
"(19, 2, 3, 7)",3,"(None, 4, None, 5)"
"(19, 2, 18)",1,"(2, 4, 5, 5)"
"(19, 2, 18, 21)",2,"(None, 3, 5, 5)"
"(19, 2, 26)",1,"(3, 7, 0, 5)"
"(19, 4)",6,"(None, 2, None, 5)"
"(19, 4, 7)",13,"(None, None, None, 5)"
"(19, 4, 14, 7)",1,"(2, 0, 3, 5)"
"(19, 5)",5,"(None, 2, None, 3)"
"(19, 5, 7)",11,"(None, 5, None, 5)"
"(19, 7)",1,"(2, 2, '?', 7)"
"(19, 11, 4)",3,"(None, 0, 6, 5)"
"(19, 15)",7,"(None, 2, 3, None)"
"(19, 21)",1,"(5, 2, '?', 0)"
"(19, 23)",5,"(None, 2, None, None)"
"(19, 26, 2, 7)",2,"(None, 7, 0, 5)"
"(20,)",457,"(None, None, None, 4)"
"(20, 5, 7)",1,"(4, 5, '?', '?')"
"(20, 6, 23)",3,"(None, 7, 2, 6)"
"(20, 15)",49,"(None, None, 3, None)"
"(20, 23)",21,"(None, None, None, 4)"
"(21,)",445,"(None, None, None, 0)"
"(21, 5, 14)",1,"(6, 6, 3, 0)"
"(21, 5, 14, 7)",1,"(6, 6, 3, 0)"
"(21, 6, 23)",1,"(6, 0, 2, 0)"
"(21, 14)",7,"(None, None, None, 0)"
"(21, 15)",3,"(6, 2, 3, 0)"
"(21, 22)",7,"(None, None, None, 0)"
"(21, 22, 23)",5,"(None, 6, 2, 0)"
"(21, 23)",15,"(None, None, None, 0)"
"(22,)",1,"(3, 3, 1, '?')"
"(23, 5, 7)",15,"(None, 5, None, None)"
"(23, 6, 7)",18,"(None, None, 2, None)"
"(24,)",188,"(None, None, None, 2)"
"(24, 2)",2,"(None, 3, '?', 2)"
"(24, 6)",5,"(None, None, 2, 2)"
"(24, 6, 23)",73,"(None, None, 2, 2)"
"(24, 8)",3,"(None, 5, 4, 2)"
"(24, 11)",48,"(None, None, 6, 2)"
"(24, 15)",27,"(None, None, 3, 2)"
"(24, 18)",22,"(None, None, 5, 2)"
"(24, 19)",7,"(None, 2, 4, 2)"
"(24, 19, 23)",2,"(None, 2, 4, 2)"
"(24, 23)",4,"(None, None, None, 2)"
"(24, 25)",28,"(None, 6, None, 2)"
"(24, 25, 14)",12,"(None, 6, None, 2)"
"(24, 25, 14, 23)",1,"(6, 6, 4, 2)"
"(24, 25, 23)",10,"(None, 6, 4, 2)"
"(24, 26)",29,"(None, None, 0, 2)"
"(25, 2, 14)",1,"(0, 6, 0, 6)"
"(25, 2, 14, 15)",1,"(3, 1, 6, 1)"
"(25, 3, 7)",1,"(7, '?', '?', '?')"
"(25, 3, 14)",9,"(None, None, None, None)"
"(25, 5)",1,"(5, 6, '?', 3)"
"(25, 5, 14)",3,"(None, 6, '?', 3)"
"(25, 10)",24,"(None, 6, 7, None)"
"(25, 10, 14)",44,"(None, 6, 7, None)"
"(25, 11, 14)",1,"(6, 6, 6, 6)"
"(25, 11, 20, 14)",1,"(4, 2, 6, 4)"
"(25, 14)",172,"(None, 6, None, None)"
"(25, 14, 1, 23)",1,"(3, 6, 4, 0)"
"(25, 14, 15)",9,"(None, 6, 3, None)"
"(25, 14, 17)",1,"(5, 6, 5, 0)"
"(25, 14, 23)",18,"(None, 6, None, None)"
"(25, 15, 14, 7)",1,"(6, 6, 3, 5)"
"(25, 18)",12,"(None, 6, 5, None)"
"(25, 18, 14)",9,"(None, 6, 5, None)"
"(25, 18, 14, 17)",1,"(6, 6, 5, 0)"
"(25, 18, 14, 23)",1,"(6, 6, 5, 0)"
"(25, 18, 19)",1,"(5, 6, 5, 5)"
"(25, 18, 21)",2,"(None, 6, 5, 0)"
"(25, 19, 7)",1,"(6, '?', '?', 5)"
"(25, 20)",10,"(None, 6, None, 4)"
"(25, 20, 14)",10,"(None, 6, None, None)"
"(25, 20, 23)",1,"(7, 6, 4, 4)"
"(25, 21)",27,"(None, 6, None, 0)"
"(25, 21, 14)",21,"(None, 6, None, 0)"
"(25, 21, 14, 23)",3,"(None, 6, None, 0)"
"(25, 21, 23)",8,"(None, 6, None, 0)"
"(25, 23)",60,"(None, 6, None, None)"
"(25, 26)",9,"(None, 6, 0, None)"
"(25, 26, 14)",29,"(None, 6, 0, None)"
"(25, 26, 21)",1,"(2, 6, 0, 0)"
"(26,)",443,"(None, None, 0, None)"
"(26, 2)",1,"(0, 7, 0, 5)"
"(26, 2, 7)",1,"(2, 7, 0, 7)"
"(26, 2, 20)",4,"(None, 7, 0, None)"
"(26, 2, 20, 7)",1,"(2, 7, 0, 5)"
"(26, 2, 21)",1,"('?', 3, 0, 5)"
"(26, 3, 4)",1,"(0, 1, '?', 7)"
"(26, 4)",8,"(None, None, None, None)"
"(26, 5)",75,"(None, None, 0, 3)"
"(26, 7)",1,"(4, 7, 0, 5)"
"(26, 13)",21,"(1, None, 0, None)"
"(26, 14)",2,"(None, None, 0, 6)"
"(26, 19)",7,"(None, 2, 0, None)"
"(26, 19, 4)",1,"(5, 0, 0, 5)"
"(26, 20)",13,"(None, None, 0, 4)"
"(26, 20, 7)",1,"(5, 7, 0, 5)"
"(26, 21)",17,"(None, None, 0, None)"
"(26, 21, 14)",1,"(3, 6, 0, 0)"
