fixed attribute values,symbols
"(0, 0, 3, 2, 1)","[{1, 10, 6}, {1, 10, 6}, {1, 10, 6}, {1, 10, 6}]"
"(0, 0, 3, 2, 3)","[{1, 10, 6}, {1, 10, 6, 9}, {1, 10, 6}]"
"(0, 0, 3, 2, '_')","[{1, 10, 6}, {10, 6}, {9, 10, 6, 1}, {1, 10}, {1, 10}]"
"(0, 0, 3, 3, 2)","[{1, 5}, {10, 5}]"
"(0, 0, 3, 3, '_')","[{1, 10, 5}]"
"(0, 0, 3, '_', 3)","[{1, 10}]"
"(0, 0, '_', 0, '_')","[{8, 1, 4}]"
"(0, 0, '_', 2, 0)","[{1, 9, 6}]"
"(0, 0, '_', 2, 1)","[{9, 1}]"
"(0, 0, '_', 2, 2)","[{1, 6}]"
"(0, 0, '_', 2, '_')","[{1, 9, 6}, {1, 9, 6}, {9, 6, 1}]"
"(0, 0, '_', 3, '_')","[{1, 5}]"
"(0, 1, 0, 1, 1)","[{2, 3, 14}]"
"(0, 1, 0, 1, 2)","[{3, 14}, {2, 14}]"
"(0, 1, 0, 1, '_')","[{2, 3, 14}]"
"(0, 1, 0, 3, 0)","[{2, 3, 5}]"
"(0, 1, 0, '_', 0)","[{9, 2, 11}, {2, 3, 6}, {2, 3, 6}]"
"(0, 1, 1, 2, 0)","[{9, 2, 12}, {9, 2, 12}]"
"(0, 1, 1, 2, 1)","[{9, 2, 12}]"
"(0, 1, 1, 2, '_')","[{9, 2, 12}]"
"(0, 1, 2, 0, 0)","[{2, 4, 7}]"
"(0, 1, 2, 1, 3)","[{2, 4, 7}]"
"(0, 1, 2, 2, 1)","[{2, 7}]"
"(0, 1, 2, 2, 2)","[{2, 7}]"
"(0, 1, 2, 3, 0)","[{2, 5, 7}, {2, 5}, {2, 5, 7}]"
"(0, 1, 2, 3, '_')","[{2, 5, 7}, {5, 7}]"
"(0, 1, 2, '_', 0)","[{2, 7}]"
"(0, 1, 3, 0, 3)","[{10, 2, 4}, {8, 10, 2, 4}]"
"(0, 1, 3, 1, 3)","[{2, 10, 4}, {10, 2}]"
"(0, 1, 3, 3, 3)","[{2, 5}, {10, 5}]"
"(0, 1, 3, '_', '_')","[{10, 2}]"
"(0, 1, '_', 2, 0)","[{9, 2}]"
"(0, 1, '_', 2, 1)","[{9, 2}]"
"(0, 1, '_', 2, 2)","[{9, 2}]"
"(0, 1, '_', 2, '_')","[{9, 2}]"
"(0, 1, '_', 3, 2)","[{2, 5}, {2, 5}]"
"(0, 1, '_', 3, '_')","[{2, 5}]"
"(0, 2, 0, 0, 3)","[{3, 4}, {3, 4, 15}, {3, 4, 15}]"
"(0, 2, 0, 0, '_')","[{3, 4, 15}]"
"(0, 2, 0, 1, 2)","[{4, 14, 15}]"
"(0, 2, 0, 1, 3)","[{3, 4, 15}]"
"(0, 2, 0, 1, '_')","[{3, 4, 15}]"
"(0, 2, 0, 2, 1)","[{9, 6, 15}]"
"(0, 2, 0, 3, 2)","[{3, 5, 15}, {5, 15}]"
"(0, 2, 0, '_', 3)","[{3, 15}, {3, 6, 15}, {3, 4, 15}]"
"(0, 2, 1, 1, '_')","[{12, 4, 14, 15}]"
"(0, 2, 1, 2, 0)","[{9, 12, 15}, {9, 15}]"
"(0, 2, 1, '_', 1)","[{12, 15}]"
"(0, 2, 2, 1, 1)","[{4, 7, 14, 15}]"
"(0, 2, 2, 2, 1)","[{9, 15, 7}]"
"(0, 2, 2, 3, 2)","[{15, 5, 7}]"
"(0, 2, 2, '_', 1)","[{15, 7}, {4, 7, 15}]"
"(0, 2, 2, '_', 2)","[{4, 12, 7}, {4, 12, 7}, {15, 7}]"
"(0, 2, 2, '_', '_')","[{15, 7}]"
"(0, 2, 3, 0, 0)","[{10, 4}, {10, 4, 15}]"
"(0, 2, 3, 0, 3)","[{10, 4, 15}]"
"(0, 2, 3, 1, 0)","[{4, 12, 15}]"
"(0, 2, 3, 1, 2)","[{4, 6, 10, 14, 15}]"
"(0, 2, 3, 2, 0)","[{10, 4, 15}]"
"(0, 2, 3, 3, 2)","[{10, 5}]"
"(0, 2, 3, '_', 0)","[{10, 4, 15}]"
"(0, 2, 3, '_', 3)","[{10, 15}, {10, 15}]"
"(0, 2, 3, '_', '_')","[{10, 15}]"
"(0, 2, '_', 1, 1)","[{4, 14, 15}]"
"(0, 2, '_', 2, 1)","[{9, 15}]"
"(0, 3, 0, 1, 0)","[{8, 4, 6}]"
"(0, 3, 0, 1, '_')","[{8, 3, 4, 14}]"
"(0, 3, 0, 3, '_')","[{8, 3, 5}, {8, 3, 5}]"
"(0, 3, 0, '_', 0)","[{8, 3, 6}, {8, 6}]"
"(0, 3, 0, '_', '_')","[{8, 3, 6}]"
"(0, 3, 1, 2, 2)","[{8, 9, 12}]"
"(0, 3, 1, 2, 3)","[{8, 9, 12}]"
"(0, 3, 1, 2, '_')","[{8, 9, 12}]"
"(0, 3, 1, 3, 0)","[{12, 5}]"
"(0, 3, 1, 3, '_')","[{12, 5}]"
"(0, 3, 1, '_', '_')","[{8, 12}]"
"(0, 3, 2, 0, 1)","[{8, 4, 7}]"
"(0, 3, 2, 3, '_')","[{5, 7}, {5, 7}]"
"(0, 3, 2, '_', 2)","[{4, 7}]"
"(0, 3, 2, '_', 3)","[{8, 7}, {8, 7}]"
"(0, 3, 3, 0, 1)","[{8, 10, 4}]"
"(0, 3, 3, 0, 3)","[{10, 4}]"
"(0, 3, 3, 0, '_')","[{8, 10, 4}, {8, 10, 4}]"
"(0, 3, 3, '_', '_')","[{8, 10}]"
"(0, 3, '_', 0, 0)","[{8, 4}]"
"(0, 3, '_', 0, 2)","[{8, 4}]"
"(0, 3, '_', 1, 0)","[{4, 6, 7, 8, 14}]"
"(0, 3, '_', 2, 0)","[{8, 9}, {8, 9}, {8, 9}]"
"(0, 3, '_', 2, 1)","[{8, 9, 7}]"
"(0, 3, '_', 2, 2)","[{8, 9}]"
"(0, 3, '_', 2, '_')","[{8, 9}, {8, 9}]"
"(0, 3, '_', '_', 2)","[{8, 12, 7}]"
"(0, '_', 0, 0, 3)","[{3, 4}]"
"(0, '_', 0, 1, 2)","[{3, 4, 14}]"
"(0, '_', 0, 1, '_')","[{3, 14}, {3, 4, 14}]"
"(0, '_', 0, 2, 0)","[{9, 3, 6}]"
"(0, '_', 0, 2, 3)","[{9, 3, 6}]"
"(0, '_', 0, 2, '_')","[{9, 3}, {9, 3, 6}, {9, 3, 6}, {9, 3, 6}]"
"(0, '_', 0, '_', 2)","[{3, 6}, {3, 6}, {3, 12, 6}, {3, 6, 14}, {3, 12, 6}, {3, 12, 6}, {3, 12, 13}]"
"(0, '_', 1, 0, 0)","[{9, 12, 4}]"
"(0, '_', 1, 1, 0)","[{12, 13, 14}, {12, 14}]"
"(0, '_', 1, 2, 2)","[{9, 12, 13}]"
"(0, '_', 2, 0, '_')","[{4, 7}, {8, 4, 7}]"
"(0, '_', 2, 2, 1)","[{6, 7}, {9, 7}]"
"(0, '_', 2, 3, 2)","[{5, 7}]"
"(0, '_', 3, 0, 2)","[{10, 4, 12}]"
"(0, '_', 3, 0, '_')","[{8, 10, 4}]"
"(0, '_', 3, 1, 0)","[{10, 4, 12, 6}, {4, 6, 10, 12, 14}]"
"(0, '_', 3, 1, 2)","[{10, 4, 14, 6}]"
"(0, '_', 3, 2, 1)","[{9, 10}]"
"(0, '_', 3, 2, '_')","[{9, 10}]"
"(0, '_', 3, 3, '_')","[{10, 5}]"
"(0, '_', 3, '_', '_')","[{10, 6}]"
"(0, '_', '_', 0, 0)","[{12, 4}]"
"(0, '_', '_', 1, 0)","[{4, 14, 6}]"
"(0, '_', '_', 1, 2)","[{4, 14, 6}, {4, 7, 14, 6}]"
"(0, '_', '_', 2, '_')","[{9, 6}]"
"(0, '_', '_', '_', 0)","[{9, 4, 12, 7}, {9, 13, 4, 12}]"
"(0, '_', '_', '_', 2)","[{4, 12, 7}, {9, 12, 6}]"
"(0, '_', '_', '_', '_')","[{9, 12}, {9, 12}]"
"(1, 0, 0, 0, 0)","[{1, 3, 4}]"
"(1, 0, 0, 0, '_')","[{1, 3, 4}, {1, 3, 4, 6}]"
"(1, 0, 0, 1, 0)","[{1, 3, 14}]"
"(1, 0, 0, 1, 1)","[{1, 14, 6}]"
"(1, 0, 0, 1, 2)","[{1, 14, 6}]"
"(1, 0, 0, 3, 2)","[{1, 3, 5, 6}]"
"(1, 0, 0, 3, '_')","[{5, 6}]"
"(1, 0, 0, '_', '_')","[{1, 3}]"
"(1, 0, 1, 2, 1)","[{9, 1}]"
"(1, 0, 2, 1, 2)","[{1, 7}]"
"(1, 0, 2, 1, '_')","[{1, 7}]"
"(1, 0, 2, 3, 0)","[{1, 5}]"
"(1, 0, 2, 3, 2)","[{1, 5, 6}]"
"(1, 0, 2, 3, 3)","[{1, 5}]"
"(1, 0, 2, '_', 2)","[{1, 6, 7}]"
"(1, 0, 2, '_', '_')","[{1, 6, 7}]"
"(1, 0, 3, 2, 1)","[{1, 6}, {1, 10, 6}]"
"(1, 0, 3, 2, 2)","[{10, 6}]"
"(1, 0, 3, 2, '_')","[{1, 10, 6}, {1, 10, 6}]"
"(1, 0, 3, '_', 1)","[{1, 10, 5}, {1, 10}]"
"(1, 0, '_', 0, '_')","[{1, 4}]"
"(1, 0, '_', 3, 2)","[{1, 5}]"
"(1, 1, 0, 1, 0)","[{2, 3}]"
"(1, 1, 0, 1, 1)","[{2, 3, 14}, {2, 3, 14}]"
"(1, 1, 0, 1, '_')","[{2, 3, 14}, {2, 3, 14}, {2, 3, 14}, {2, 14}]"
"(1, 1, 1, 2, 3)","[{9, 2, 12}]"
"(1, 1, 2, 0, 2)","[{8, 2, 4}]"
"(1, 1, 2, 1, 1)","[{2, 7}]"
"(1, 1, 3, 0, 2)","[{10, 2, 4}]"
"(1, 1, 3, 0, '_')","[{8, 10, 2, 4}]"
"(1, 1, 3, 1, 2)","[{2, 10, 4}]"
"(1, 1, 3, 1, 3)","[{2, 10}, {2, 10, 4}, {10, 2, 4, 14}]"
"(1, 1, 3, '_', 1)","[{10, 2}]"
"(1, 1, 3, '_', '_')","[{10, 2}]"
"(1, 1, '_', 0, 1)","[{8, 2, 4}]"
"(1, 1, '_', 2, 0)","[{9, 2}, {9, 2}, {9, 2}]"
"(1, 1, '_', 2, '_')","[{9, 2}, {9, 2}]"
"(1, 2, 0, 0, 1)","[{3, 4, 15}]"
"(1, 2, 0, 0, 3)","[{3, 4, 15}]"
"(1, 2, 0, 0, '_')","[{3, 4, 15}]"
"(1, 2, 0, 1, 2)","[{14, 15}]"
"(1, 2, 0, 1, '_')","[{3, 14, 15}]"
"(1, 2, 0, 2, 1)","[{3, 6, 15}]"
"(1, 2, 0, '_', 1)","[{3, 15}]"
"(1, 2, 0, '_', '_')","[{3, 4, 15}, {3, 15}]"
"(1, 2, 1, 0, 1)","[{12, 4}]"
"(1, 2, 1, 1, 0)","[{12, 14, 15}]"
"(1, 2, 1, 2, 2)","[{9, 12, 15}]"
"(1, 2, 1, 2, 3)","[{9, 12, 6, 15}]"
"(1, 2, 1, 2, '_')","[{9, 15}]"
"(1, 2, 1, '_', 0)","[{9, 12, 15}, {12, 15}, {12, 15}]"
"(1, 2, 1, '_', 2)","[{12, 15}, {12, 15}]"
"(1, 2, 2, 0, '_')","[{8, 4}]"
"(1, 2, 2, 1, 0)","[{4, 6, 7, 14, 15}]"
"(1, 2, 2, 1, 1)","[{4, 6, 14, 7}, {15, 6, 7}]"
"(1, 2, 2, 1, 2)","[{4, 15, 7}]"
"(1, 2, 2, 1, 3)","[{4, 6, 14, 7}]"
"(1, 2, 2, 1, '_')","[{4, 15, 7}]"
"(1, 2, 2, 2, 0)","[{6, 7}]"
"(1, 2, 2, 2, 1)","[{15, 6, 7}]"
"(1, 2, 2, 2, 3)","[{9, 15, 7}]"
"(1, 2, 2, 3, 3)","[{5, 7}]"
"(1, 2, 2, '_', 1)","[{4, 15, 7}]"
"(1, 2, 2, '_', 2)","[{4, 15, 7}]"
"(1, 2, 3, 0, 0)","[{10, 4, 15}]"
"(1, 2, 3, 0, 3)","[{10, 4, 15}]"
"(1, 2, 3, 1, 0)","[{10, 4, 14, 15}]"
"(1, 2, 3, 1, 2)","[{4, 5, 14, 15}]"
"(1, 2, 3, 1, 3)","[{10, 4}]"
"(1, 2, 3, 1, '_')","[{10, 4, 5, 14}, {10, 4, 14, 15}, {10, 4, 14, 15}]"
"(1, 2, 3, '_', 3)","[{10, 15}]"
"(1, 2, '_', 1, 2)","[{4, 6, 14, 15}, {4, 14, 15}, {4, 14, 15}]"
"(1, 2, '_', 1, '_')","[{14, 15}, {14, 15}]"
"(1, 2, '_', 2, '_')","[{9, 15}]"
"(1, 2, '_', 3, '_')","[{5, 15}]"
"(1, 2, '_', '_', 2)","[{14, 15}]"
"(1, 2, '_', '_', '_')","[{4, 15}]"
"(1, 3, 0, 1, 1)","[{8, 3, 14}]"
"(1, 3, 0, 2, 0)","[{8, 9, 3}]"
"(1, 3, 0, 3, 3)","[{8, 3, 5}]"
"(1, 3, 0, 3, '_')","[{8, 3, 5}]"
"(1, 3, 0, '_', '_')","[{8, 3}, {8, 6}]"
"(1, 3, 1, 0, 0)","[{8, 12, 4}]"
"(1, 3, 1, 2, 2)","[{8, 9}]"
"(1, 3, 1, 3, 1)","[{8, 5}, {8, 5}]"
"(1, 3, 1, '_', 0)","[{8, 12, 7}]"
"(1, 3, 1, '_', 1)","[{8, 12}]"
"(1, 3, 1, '_', 2)","[{8, 12, 7}]"
"(1, 3, 2, 0, 0)","[{8, 4, 7}]"
"(1, 3, 2, 0, 3)","[{8, 4, 7}, {8, 7}]"
"(1, 3, 2, 0, '_')","[{4, 7}, {8, 4, 7}]"
"(1, 3, 2, 2, 1)","[{8, 9, 7}, {8, 9, 6, 7}]"
"(1, 3, 2, 2, 3)","[{8, 9, 7}]"
"(1, 3, 2, 3, 0)","[{5, 7}]"
"(1, 3, 2, 3, 3)","[{8, 5, 7}]"
"(1, 3, 3, 0, 0)","[{8, 10, 4}]"
"(1, 3, 3, 1, '_')","[{10, 4, 6}]"
"(1, 3, 3, 3, 1)","[{10, 5}]"
"(1, 3, '_', 0, 3)","[{8, 10}]"
"(1, 3, '_', 1, 1)","[{8, 4, 14, 6}]"
"(1, 3, '_', 1, 2)","[{10, 11, 14}]"
"(1, 3, '_', 1, 3)","[{8, 4, 14}, {8, 14, 7}]"
"(1, 3, '_', 2, 1)","[{8, 9}]"
"(1, 3, '_', 3, 3)","[{8, 5}, {8, 11, 5}]"
"(1, 3, '_', '_', 3)","[{8, 7}]"
"(1, '_', 0, 0, 3)","[{11, 8, 3, 4}]"
"(1, '_', 0, 1, 0)","[{3, 14}, {3, 14}]"
"(1, '_', 0, 1, '_')","[{3, 14}]"
"(1, '_', 0, 2, 0)","[{3, 6}, {3, 6}, {9, 6}]"
"(1, '_', 0, 2, 3)","[{9, 3}]"
"(1, '_', 0, 2, '_')","[{3, 6}, {3, 6}]"
"(1, '_', 0, 3, 3)","[{5, 6}]"
"(1, '_', 1, 0, 2)","[{8, 12, 4}]"
"(1, '_', 1, 0, '_')","[{9, 12, 4}]"
"(1, '_', 1, 1, 3)","[{12, 14}]"
"(1, '_', 1, 2, '_')","[{9, 12, 6}]"
"(1, '_', 1, '_', 1)","[{9, 12, 6}]"
"(1, '_', 1, '_', 3)","[{12, 6}]"
"(1, '_', 2, 1, 1)","[{14, 7}, {14, 7}, {14, 7}]"
"(1, '_', 2, 1, 2)","[{14, 7}]"
"(1, '_', 2, 1, '_')","[{14, 7}, {14, 7}, {14, 7}]"
"(1, '_', 2, 3, '_')","[{5, 7}]"
"(1, '_', 3, 1, 2)","[{10, 4, 14, 6}, {10, 6}, {10, 14}]"
"(1, '_', 3, 1, '_')","[{10, 4, 14}]"
"(1, '_', 3, 3, 0)","[{10, 5}]"
"(1, '_', 3, '_', 0)","[{10, 11}]"
"(1, '_', '_', 1, '_')","[{10, 4, 14}]"
"(1, '_', '_', 2, 1)","[{9, 6}, {9, 6}]"
"(1, '_', '_', '_', 1)","[{9, 11, 6, 14}]"
"(1, '_', '_', '_', '_')","[{9, 6, 14}, {6, 9, 11, 12, 14}, {9, 11, 6, 14}, {9, 11, 12, 14}, {9, 11, 14}]"
"(2, 0, 0, 1, 0)","[{1, 3, 14, 6}]"
"(2, 0, 0, 1, 1)","[{3, 14, 6}]"
"(2, 0, 0, 1, 2)","[{1, 14}]"
"(2, 0, 0, 1, '_')","[{1, 14, 6}]"
"(2, 0, 0, 2, 0)","[{1, 6}]"
"(2, 0, 0, 3, 1)","[{1, 3, 5, 6}]"
"(2, 0, 0, 3, 2)","[{1, 5, 6}, {1, 3, 5, 6}, {1, 3, 6, 7}]"
"(2, 0, 0, 3, 3)","[{1, 5, 6}]"
"(2, 0, 0, '_', '_')","[{1, 3, 6}, {1, 3, 6}]"
"(2, 0, 1, 2, 1)","[{1, 9}, {1, 9}]"
"(2, 0, 1, '_', 3)","[{1, 13}]"
"(2, 0, 1, '_', '_')","[{1, 13}]"
"(2, 0, 2, 0, 2)","[{8, 1, 4}, {8, 1, 4}]"
"(2, 0, 2, 2, 0)","[{1, 6, 7}]"
"(2, 0, 2, 2, 1)","[{9, 1, 6}]"
"(2, 0, 2, 3, 1)","[{1, 6}]"
"(2, 0, 3, 1, 3)","[{1, 10}]"
"(2, 0, 3, 2, 1)","[{9, 1, 6}, {9, 6, 1}]"
"(2, 0, 3, 2, 2)","[{10, 6}]"
"(2, 0, 3, 2, 3)","[{1, 10, 6}]"
"(2, 0, 3, 3, 3)","[{1, 10, 5}]"
"(2, 0, 3, 3, '_')","[{1, 10, 5}, {1, 10, 5}]"
"(2, 0, 3, '_', 2)","[{1, 10, 5}, {1, 10, 6}, {1, 10}, {1, 10, 6}]"
"(2, 0, 3, '_', 3)","[{1, 10, 6}]"
"(2, 0, '_', 0, '_')","[{1, 4}]"
"(2, 0, '_', 2, 0)","[{9, 6, 1}]"
"(2, 0, '_', 2, 1)","[{9, 6, 1}, {9, 1}, {9, 6, 1}]"
"(2, 0, '_', 3, 3)","[{1, 5, 6}]"
"(2, 0, '_', '_', '_')","[{1, 6}]"
"(2, 1, 0, 0, 1)","[{8, 11, 4}]"
"(2, 1, 0, 1, 2)","[{2, 3, 14}]"
"(2, 1, 0, 1, 3)","[{2, 3, 14}, {2, 3, 14}, {2, 14}]"
"(2, 1, 0, 1, '_')","[{2, 3}, {2, 3, 14}, {2, 3, 14}]"
"(2, 1, 0, '_', 0)","[{2, 3}, {2, 3}]"
"(2, 1, 0, '_', 1)","[{2, 3, 6}]"
"(2, 1, 0, '_', 2)","[{2, 3}]"
"(2, 1, 0, '_', 3)","[{2, 3}]"
"(2, 1, 0, '_', '_')","[{2, 3}, {2, 3}]"
"(2, 1, 1, 0, '_')","[{8, 2, 12, 4}]"
"(2, 1, 1, 2, '_')","[{9, 2}]"
"(2, 1, 2, 1, 3)","[{2, 4, 14, 7}]"
"(2, 1, 2, 1, '_')","[{2, 7}, {2, 4, 14, 7}]"
"(2, 1, 2, 2, 2)","[{9, 2, 7}, {2, 7}]"
"(2, 1, 2, 2, 3)","[{9, 2, 7}]"
"(2, 1, 2, 2, '_')","[{9, 2, 7}]"
"(2, 1, 2, '_', 3)","[{2, 7}, {2, 7}]"
"(2, 1, 3, 0, 0)","[{10, 2, 4}]"
"(2, 1, 3, 0, 2)","[{10, 2, 4}]"
"(2, 1, 3, 0, '_')","[{8, 10, 2, 4}]"
"(2, 1, 3, 1, 3)","[{2, 10, 4}, {2, 10, 4, 14}]"
"(2, 1, 3, 1, '_')","[{2, 10, 4}, {2, 10, 4}]"
"(2, 1, 3, 2, 1)","[{9, 10}]"
"(2, 1, 3, 2, '_')","[{9, 2}]"
"(2, 1, 3, '_', '_')","[{10, 2}]"
"(2, 1, '_', 1, 3)","[{2, 4, 13, 14}]"
"(2, 1, '_', 2, 0)","[{9, 2}, {9, 2}, {9, 2}, {9, 2}]"
"(2, 1, '_', 2, 1)","[{9, 2}, {9, 2}]"
"(2, 1, '_', 2, 3)","[{9, 2}]"
"(2, 1, '_', 2, '_')","[{9, 2}, {9, 2}]"
"(2, 2, 0, 0, 0)","[{3, 4}]"
"(2, 2, 0, 0, 1)","[{3, 4, 15}]"
"(2, 2, 0, 0, '_')","[{3, 4, 15}, {4, 15}, {4, 15}]"
"(2, 2, 0, 1, 1)","[{3, 14, 15}]"
"(2, 2, 0, 1, 2)","[{14, 15}]"
"(2, 2, 0, 2, 1)","[{3, 15}, {3, 6, 15}]"
"(2, 2, 0, 2, 3)","[{3, 6, 15}]"
"(2, 2, 0, 2, '_')","[{3, 15}]"
"(2, 2, 0, 3, 2)","[{3, 5, 15}, {5, 15}]"
"(2, 2, 0, 3, 3)","[{3, 5, 15}, {3, 5, 15}]"
"(2, 2, 0, '_', 1)","[{3, 15}]"
"(2, 2, 0, '_', '_')","[{3, 15}]"
"(2, 2, 1, 0, 1)","[{8, 12, 13}, {8, 12, 13, 15}]"
"(2, 2, 1, 0, 3)","[{8, 12, 4}]"
"(2, 2, 1, 0, '_')","[{8, 12, 4, 15}]"
"(2, 2, 1, 1, 0)","[{12, 4, 6}, {12, 4, 14}]"
"(2, 2, 1, 1, 1)","[{12, 4, 14}]"
"(2, 2, 1, 1, 2)","[{12, 4, 14}]"
"(2, 2, 1, 2, 0)","[{9, 12, 15}]"
"(2, 2, 1, 2, 1)","[{9, 6, 15}, {9, 15}]"
"(2, 2, 1, 2, 3)","[{9, 12, 15}]"
"(2, 2, 1, '_', 2)","[{12, 13, 15}]"
"(2, 2, 1, '_', 3)","[{12, 15}]"
"(2, 2, 2, 1, 0)","[{4, 15, 7}]"
"(2, 2, 2, 1, 1)","[{6, 7}]"
"(2, 2, 2, 1, 2)","[{4, 15, 14, 7}, {4, 15, 7}, {4, 7}]"
"(2, 2, 2, 1, '_')","[{4, 14, 7}, {4, 15, 14, 7}, {4, 7, 14, 15}, {4, 14, 7}]"
"(2, 2, 2, 2, 0)","[{7, 15}]"
"(2, 2, 2, 2, 3)","[{9, 15, 7}, {9, 15, 7}]"
"(2, 2, 2, 2, '_')","[{9, 15, 7}]"
"(2, 2, 2, '_', 1)","[{15, 7}]"
"(2, 2, 2, '_', 2)","[{7, 4, 15}]"
"(2, 2, 2, '_', '_')","[{15, 7}, {15, 7}, {15, 7}]"
"(2, 2, 3, 0, 1)","[{10, 4, 15}, {10, 4, 15}, {10, 4, 15}]"
"(2, 2, 3, 0, 2)","[{10, 15}]"
"(2, 2, 3, 0, '_')","[{10, 4, 15}, {10, 4, 15}, {10, 4, 15}]"
"(2, 2, 3, 1, 0)","[{10, 4, 5}]"
"(2, 2, 3, 1, 1)","[{4, 15, 14, 6}, {4, 6, 10, 14, 15}]"
"(2, 2, 3, 2, 2)","[{10, 15}]"
"(2, 2, 3, 2, '_')","[{9, 10, 15}, {9, 10, 15}]"
"(2, 2, 3, 3, 3)","[{5, 15}]"
"(2, 2, 3, '_', 1)","[{10, 15}]"
"(2, 2, '_', 0, 0)","[{12, 4, 15}]"
"(2, 2, '_', 0, 3)","[{8, 4, 15}]"
"(2, 2, '_', 1, 1)","[{4, 6, 15}]"
"(2, 2, '_', 1, '_')","[{4, 14, 15}]"
"(2, 2, '_', 2, 1)","[{9, 15}, {9, 15}, {9, 15}]"
"(2, 2, '_', 2, '_')","[{9, 6, 15}]"
"(2, 2, '_', '_', 2)","[{13, 15}, {13, 15}]"
"(2, 2, '_', '_', '_')","[{5, 15}]"
"(2, 3, 0, 1, 0)","[{3, 13}]"
"(2, 3, 0, 1, 1)","[{8, 3, 14}, {8, 3, 4, 14}]"
"(2, 3, 0, 2, 0)","[{9, 3}, {8, 9, 3}, {9, 3}]"
"(2, 3, 0, 2, 2)","[{8, 9, 3}]"
"(2, 3, 0, '_', 2)","[{8, 13}]"
"(2, 3, 0, '_', '_')","[{8, 3}, {8, 3}, {8, 3}]"
"(2, 3, 1, 0, '_')","[{8, 12, 5}]"
"(2, 3, 1, 1, 2)","[{8, 4, 12}]"
"(2, 3, 1, 1, 3)","[{8, 12, 14}]"
"(2, 3, 1, 2, 1)","[{8, 9, 12}]"
"(2, 3, 1, 2, 3)","[{8, 9, 12}]"
"(2, 3, 1, '_', 3)","[{8, 12}]"
"(2, 3, 2, 0, 1)","[{8, 4, 7}]"
"(2, 3, 2, 2, 3)","[{8, 7}]"
"(2, 3, 2, 3, 1)","[{5, 7}, {8, 5, 7}]"
"(2, 3, 2, 3, 2)","[{8, 7}, {8, 5, 7}]"
"(2, 3, 2, 3, 3)","[{5, 7}]"
"(2, 3, 3, 0, 0)","[{8, 10, 4}, {8, 10, 4}]"
"(2, 3, 3, 3, 0)","[{10, 5}]"
"(2, 3, '_', 1, '_')","[{8, 4, 14, 7}]"
"(2, 3, '_', 2, 2)","[{8, 9}, {8, 9}]"
"(2, 3, '_', 3, 3)","[{10, 5}]"
"(2, 3, '_', '_', 2)","[{8, 13}]"
"(2, '_', 0, 1, 2)","[{3, 14}]"
"(2, '_', 0, 1, 3)","[{3, 4, 14}]"
"(2, '_', 0, 3, 2)","[{3, 5}]"
"(2, '_', 0, 3, 3)","[{3, 5}]"
"(2, '_', 1, 0, 0)","[{13, 12, 4}]"
"(2, '_', 1, 0, 3)","[{12, 4}]"
"(2, '_', 1, 0, '_')","[{12, 4}]"
"(2, '_', 1, 3, 0)","[{12, 5}]"
"(2, '_', 1, 3, 3)","[{12, 5}]"
"(2, '_', 1, '_', '_')","[{12, 13}]"
"(2, '_', 2, 1, 3)","[{4, 14, 7}, {4, 14, 7}, {13, 14, 7}]"
